name,surface,molecule,category,min_dist,pair,pair_labels,min_dist_heavy,pair_heavy,n_metal,n_mol,mol_elems,png
"Ag100_1,6-anhydroglucofuranose",Ag100,"1,6-anhydroglucofuranose",borderline,3.107,Ag-H,Ag32...H1,3.826,Ag-O,36,17,CHO,"Ag100_1,6-anhydroglucofuranose.png"
Ag100_1-butanol,Ag100,1-butanol,reasonable,2.627,Ag-O,Ag32...O1,2.627,Ag-O,36,15,CHO,Ag100_1-butanol.png
Ag100_1-butene,Ag100,1-butene,borderline,3.238,Ag-H,Ag32...H7,3.34,Ag-C,36,12,CH,Ag100_1-butene.png
Ag100_1-pentene,Ag100,1-pentene,borderline,3.054,Ag-C,Ag36...C5,3.054,Ag-C,36,15,CH,Ag100_1-pentene.png
Ag100_2-butanol,Ag100,2-butanol,reasonable,2.611,Ag-O,Ag32...O1,2.611,Ag-O,36,15,CHO,Ag100_2-butanol.png
Ag100_2-butene,Ag100,2-butene,detached,3.867,Ag-H,Ag33...H4,4.264,Ag-C,36,12,CH,Ag100_2-butene.png
Ag100_2-ethylphenol,Ag100,2-ethylphenol,reasonable,2.847,Ag-H,Ag32...H9,3.776,Ag-C,36,19,CHO,Ag100_2-ethylphenol.png
Ag100_2-furanone,Ag100,2-furanone,reasonable,2.46,Ag-O,Ag35...O1,2.46,Ag-O,36,10,CHO,Ag100_2-furanone.png
Ag100_2-heptanone,Ag100,2-heptanone,reasonable,2.744,Ag-O,Ag35...O1,2.744,Ag-O,36,22,CHO,Ag100_2-heptanone.png
Ag100_2-hexanone,Ag100,2-hexanone,reasonable,2.798,Ag-O,Ag35...O1,2.798,Ag-O,36,19,CHO,Ag100_2-hexanone.png
Ag100_2-pentanone,Ag100,2-pentanone,reasonable,2.457,Ag-O,Ag33...O1,2.457,Ag-O,36,16,CHO,Ag100_2-pentanone.png
Ag100_3-MTHF,Ag100,3-MTHF,detached,3.778,Ag-O,Ag36...O1,3.778,Ag-O,36,16,CHO,Ag100_3-MTHF.png
Ag100_3-hydroxypropionic_acid,Ag100,3-hydroxypropionic_acid,reasonable,2.535,Ag-O,Ag33...O1,2.535,Ag-O,36,12,CHO,Ag100_3-hydroxypropionic_acid.png
Ag100_4-methylguaiacol,Ag100,4-methylguaiacol,borderline,3.246,Ag-O,Ag32...O1,3.246,Ag-O,36,20,CHO,Ag100_4-methylguaiacol.png
Ag100_5-HMF,Ag100,5-HMF,reasonable,2.744,Ag-O,Ag35...O1,2.744,Ag-O,36,15,CHO,Ag100_5-HMF.png
Ag100_5-heptanone,Ag100,5-heptanone,reasonable,2.804,Ag-O,Ag32...O1,2.804,Ag-O,36,22,CHO,Ag100_5-heptanone.png
Ag100_5-methylfurfural,Ag100,5-methylfurfural,reasonable,2.492,Ag-O,Ag33...O2,2.492,Ag-O,36,14,CHO,Ag100_5-methylfurfural.png
Ag100_CH2,Ag100,CH2,reasonable,2.117,Ag-C,Ag32...C1,2.117,Ag-C,36,3,CH,Ag100_CH2.png
Ag100_CH3,Ag100,CH3,reasonable,2.161,Ag-C,Ag33...C1,2.161,Ag-C,36,4,CH,Ag100_CH3.png
Ag100_CH4,Ag100,CH4,borderline,3.4,Ag-H,Ag35...H3,3.651,Ag-C,36,5,CH,Ag100_CH4.png
Ag100_CO,Ag100,CO,reasonable,2.113,Ag-C,Ag36...C1,2.113,Ag-C,36,2,CO,Ag100_CO.png
Ag100_CO2,Ag100,CO2,borderline,3.361,Ag-O,Ag58...O2,3.361,Ag-O,64,3,CO,Ag100_CO2.png
Ag100_D-fructofuranose,Ag100,D-fructofuranose,reasonable,2.977,Ag-O,Ag33...O5,2.977,Ag-O,36,20,CHO,Ag100_D-fructofuranose.png
Ag100_D-xylopyranose,Ag100,D-xylopyranose,borderline,3.03,Ag-H,Ag35...H9,3.3,Ag-O,36,20,CHO,Ag100_D-xylopyranose.png
Ag100_DME,Ag100,DME,reasonable,2.849,Ag-O,Ag32...O1,2.849,Ag-O,36,9,CHO,Ag100_DME.png
Ag100_DMSO,Ag100,DMSO,reasonable,2.469,Ag-O,Ag31...O1,2.469,Ag-O,36,10,CHOS,Ag100_DMSO.png
