surface,molecule,functional,mode,status,E_ads,E_complex,E_slab,E_molecule,complex_cluster,slab_cluster,molecule_cluster,complex_directory,slab_directory,molecule_directory,complex_snapshot_id,slab_snapshot_id,molecule_snapshot_id,provenance
Ag100,CO2,pbe,relaxed,ok,-0.02591616,-183.1747216,-160.18861022,-22.96019522,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/PBE,2e1a11b466cd8264f9224eae86da6c00d521084c6155d41e7c70d7e0958b70cf,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,5c3d4e7285479f2d4ac862de58c80a00baa5aba72e6fa7f6e419b6d41f863eca,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,pbe,SPE,ok,-0.01743287,-183.16623831,-160.18861022,-22.96019522,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/PBE,cac17bca749df7d1af8c715314ea98881e5f6da06df4542c3e2d11d313cbd7c4,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,5c3d4e7285479f2d4ac862de58c80a00baa5aba72e6fa7f6e419b6d41f863eca,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,pbe,SPE,ok,-0.01742705,-183.16623249,-160.18861022,-22.96019522,kestrel,perlmutter,kestrel,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO2/PBE,104dfaf551b2918bab0ee0e2c0adeb070ea5a8daefd7d0bc99fce7f3f183b1b3,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,f6471eae36719b3e9fa01a1f7c969c82ecd037478a9c24a32e95c6ed29640988,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,r2scan,SPE,ok,0.12299383,-1375.59643375,-1350.1504287,-25.56899888,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/r2scan,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/r2scan,fc2c6d2deb9130905d06d08d641cdd60eac8eefee86aa1d3ef9909d0dd175720,e7e82d6b112520b11774c91fa2ae78cc7b590684230c0df0a1f8e06d4c7c930e,4dab28f2a0fbe607817f4c5514d6f14b89ae1a164de9066f1d38852b7c93525c,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,r2scan,SPE,ok,0.12303286,-1375.59639472,-1350.1504287,-25.56899888,kestrel,perlmutter,kestrel,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/r2scan,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO2/r2scan,a3267348e3dcb37d7ceffc0cf0a2d973a529bd8a4c92bd220e89babe79b96963,e7e82d6b112520b11774c91fa2ae78cc7b590684230c0df0a1f8e06d4c7c930e,093e20381634b12f8cf89991449e1c7da761b3487bb3a769e86f4074388d6508,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,beef_vdw,relaxed,ok,-0.24397245,42.12965136,60.29424863,-17.92062482,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/beef_vdw,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/beef_vdw,b1d3100b75fbd6495a24016879de1c80468e6013c3c3ac5f97183ed8f1982d2b,2f2012aa4ab2687c6efe072051b54b803a971d2a98f0b5349489900892d7b9cf,f55cd94ae310bcb3102648fec1901ebd52aabdb902a10c25eb00c390b23c1ca3,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,beef_vdw,SPE,ok,-0.15433353,42.21929028,60.29424863,-17.92062482,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/beef_vdw,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/beef_vdw,2bce37d203b5086c2cfd82e410d21d1a78f0569c3ebc5a3d33a9dacb13e54bd7,2f2012aa4ab2687c6efe072051b54b803a971d2a98f0b5349489900892d7b9cf,f55cd94ae310bcb3102648fec1901ebd52aabdb902a10c25eb00c390b23c1ca3,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,beef_vdw,SPE,ok,-0.15433352,42.21929029,60.29424863,-17.92062482,kestrel,perlmutter,kestrel,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/beef_vdw,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO2/beef_vdw,8ffb728f19ce348f2715e263945f8db7c9d64f453876a75725daa57bb77bf536,2f2012aa4ab2687c6efe072051b54b803a971d2a98f0b5349489900892d7b9cf,5a86b539e42d7f2245c688ed5be33aa3be00f870a0932f66c9cb8e90a1bee8e3,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,ethane,pbe,relaxed,ok,-0.02338900,-200.71161601,-160.18861022,-40.49961679,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE,b26d509a1b396333b34a4652e5b62c0a681bb4511b25bda7f5dc871f4caf2188,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,9005b8a31fb6402e31baf8d69fb8269febb7a534243f4cce1cce7364f312f903,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,ethane,pbe,SPE,ok,-0.02127531,-200.70950232,-160.18861022,-40.49961679,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE,2ab3f1e5799ca124738dc8eaed4a081244189c8bb2faceed595094b0bd91941d,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,9005b8a31fb6402e31baf8d69fb8269febb7a534243f4cce1cce7364f312f903,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
