surface,molecule,functional,mode,E_ads_perlmutter,E_ads_kestrel,complex_total_difference_eV,perlmutter_directory,kestrel_directory,same_structure,geometry_evidence,selection_reason
Ag100,CO2,pbe,SPE,-0.01743287,-0.01742705,-0.00000582,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag100,CO2,r2scan,SPE,0.12299383,0.12303286,-0.00003903,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag100,CO2,beef_vdw,SPE,-0.15433353,-0.15433352,-1E-8,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethane,pbe,SPE,-0.02127531,-0.02128277,0.00000746,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethane/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethane,pbe_d3,SPE,-0.00686176,-0.00686920,0.00000744,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethane/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethane,r2scan,SPE,0.12967229,0.12968792,-0.00001563,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethane/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethane,beef_vdw,SPE,-0.18877310,-0.18866428,-0.00010882,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethane/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethanol,pbe,SPE,-0.15028345,-0.15028430,8.5E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethanol/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethanol,pbe_d3,SPE,-0.22411160,-0.22411246,8.6E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethanol/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethanol,r2scan,SPE,-0.08762786,-0.08767787,0.00005001,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethanol/singlepoint/r2scan,false,structure fingerprint missing or different,Perlmutter first
Ag100,ethanol,beef_vdw,SPE,-0.35173024,-0.35172992,-3.2E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_ethanol/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag110,ethanol,pbe,SPE,-0.22400518,-0.22383085,-0.00017433,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag110/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethanol/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
Ag110,ethanol,pbe_d3,SPE,-0.46721620,-0.46704209,-0.00017411,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag110/singlepoint/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethanol/singlepoint/PBE_D3,false,structure fingerprint missing or different,Perlmutter first
Ag110,ethanol,beef_vdw,SPE,-0.36685688,-0.36727851,0.00042163,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag110/singlepoint/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag110_ethanol/singlepoint/beef_vdw,false,structure fingerprint missing or different,Perlmutter first
Ag111,CH3,pbe,SPE,-0.75854395,-0.75854342,-5.3E-7,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag111/singlepoint/PBE,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag111_CH3/singlepoint/PBE,false,structure fingerprint missing or different,Perlmutter first
