surface,molecule,functional,mode,status,E_ads,E_complex,E_slab,E_molecule,complex_cluster,slab_cluster,molecule_cluster,complex_directory,slab_directory,molecule_directory,complex_snapshot_id,slab_snapshot_id,molecule_snapshot_id,provenance,selection_reason,kestrel_fallback,previous_E_ads,candidate_count,applied_E_ads,application_status
Ag100,CH3,pbe,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.857,0,-1.857,existing value retained
Ag100,CH3,pbe,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-1.839,0,-1.839,existing value retained
Ag100,CH3,pbe_d3,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-2.087,0,-2.087,existing value retained
Ag100,CH3,pbe_d3,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-1.987,0,-1.987,existing value retained
Ag100,CH3,r2scan,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-2.239,0,-2.239,existing value retained
Ag100,CH3,r2scan,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-2.145,0,-2.145,existing value retained
Ag100,CH3,beef_vdw,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-26.051,0,-26.051,existing value retained
Ag100,CH3,beef_vdw,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-25.989,0,-25.989,existing value retained
Ag100,CO,pbe,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-0.976,0,-0.976,existing value retained
Ag100,CO,pbe,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-0.961,0,-0.961,existing value retained
Ag100,CO,pbe_d3,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.184,0,-1.184,existing value retained
Ag100,CO,pbe_d3,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-1.09,0,-1.090,existing value retained
Ag100,CO,r2scan,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.473,0,-1.473,existing value retained
Ag100,CO,r2scan,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-1.4,0,-1.400,existing value retained
Ag100,CO,beef_vdw,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,CO,beef_vdw,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,CO2,pbe,relaxed,ok,-1.18410534,-183.1747216,-159.03042104,-22.96019522,perlmutter,kestrel,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/PBE,2e1a11b466cd8264f9224eae86da6c00d521084c6155d41e7c70d7e0958b70cf,84f707910f21fa37e1e790484cb9a23dcf3a7e83bbbf00065a6a1c2f0a24013b,5c3d4e7285479f2d4ac862de58c80a00baa5aba72e6fa7f6e419b6d41f863eca,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",Perlmutter first,false,-1.184,1,-1.18410534,selected candidate applied
Ag100,CO2,pbe,SPE,,,,,,,,,,,,,,,,Kestrel candidate held: matching Perlmutter structure not verified,false,-0.017,1,-0.017,existing value retained
Ag100,CO2,pbe_d3,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,CO2,pbe_d3,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,CO2,r2scan,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-2.17,0,-2.17,existing value retained
Ag100,CO2,r2scan,SPE,,,,,,,,,,,,,,,,Kestrel candidate held: matching Perlmutter structure not verified,false,0.13,1,0.130,existing value retained
Ag100,CO2,beef_vdw,relaxed,energy_review,-44.33184934,42.12965136,104.38212552,-17.92062482,perlmutter,kestrel,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/beef_vdw,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/beef_vdw,b1d3100b75fbd6495a24016879de1c80468e6013c3c3ac5f97183ed8f1982d2b,6b485a0d5dd2cbda0a67120ea3bce5a117b3d4777f3ea690f25f10b9374e9527,f55cd94ae310bcb3102648fec1901ebd52aabdb902a10c25eb00c390b23c1ca3,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets.",Perlmutter energy review retained; no unflagged Kestrel alternative,false,-44.332,1,-44.33184934,selected candidate applied
Ag100,CO2,beef_vdw,SPE,,,,,,,,,,,,,,,,Kestrel candidate held: matching Perlmutter structure not verified,false,-0.152,1,-0.152,existing value retained
Ag100,DME,pbe,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,DME,pbe,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,DME,pbe_d3,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,DME,pbe_d3,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,DME,r2scan,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.33,0,-1.33,existing value retained
Ag100,DME,r2scan,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-1.229,0,-1.229,existing value retained
Ag100,DME,beef_vdw,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-25.261,0,-25.261,existing value retained
Ag100,DME,beef_vdw,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-25.19,0,-25.190,existing value retained
Ag100,H2,pbe,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-0.62,0,-0.62,existing value retained
Ag100,H2,pbe,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-0.592,0,-0.592,existing value retained
Ag100,H2,pbe_d3,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-0.7,0,-0.70,existing value retained
Ag100,H2,pbe_d3,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-0.585,0,-0.585,existing value retained
Ag100,H2,r2scan,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.1,0,-1.10,existing value retained
Ag100,H2,r2scan,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-0.993,0,-0.993,existing value retained
Ag100,H2,beef_vdw,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,H2,beef_vdw,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,H2O,pbe,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-0.814,0,-0.814,existing value retained
Ag100,H2O,pbe,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-0.79,0,-0.790,existing value retained
Ag100,H2O,pbe_d3,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.0,0,-1.000,existing value retained
Ag100,H2O,pbe_d3,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-0.875,0,-0.875,existing value retained
Ag100,H2O,r2scan,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.377,0,-1.377,existing value retained
Ag100,H2O,r2scan,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-1.249,0,-1.249,existing value retained
Ag100,H2O,beef_vdw,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,H2O,beef_vdw,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
Ag100,H2S,pbe,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-0.843,0,-0.843,existing value retained
Ag100,H2S,pbe,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-0.786,0,-0.786,existing value retained
Ag100,H2S,pbe_d3,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,-1.173,0,-1.173,existing value retained
Ag100,H2S,pbe_d3,SPE,,,,,,,,,,,,,,,,No complete matched component set,false,-1.002,0,-1.002,existing value retained
Ag100,H2S,r2scan,relaxed,,,,,,,,,,,,,,,,No complete matched component set,false,,0,,missing
