surface,molecule,functional,mode,E_ads,E_ads_ML,delta,provenance,complex_directory
Ag100,CH3,pbe,relaxed,-1.857,-1.61,+0.243,Screened Perlmutter result: CH3_Ag100,
Ag100,CH3,pbe,SPE,-1.839,-1.61,+0.229,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/PBE
Ag100,CH3,pbe_d3,relaxed,-2.087,-1.61,+0.474,Screened Perlmutter result: CH3_Ag100,
Ag100,CH3,pbe_d3,SPE,-1.987,-1.61,+0.377,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/PBE_D3
Ag100,CH3,r2scan,relaxed,-2.239,-1.61,+0.625,Screened Perlmutter result: CH3_Ag100,
Ag100,CH3,r2scan,SPE,-2.145,-1.61,+0.535,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/r2scan
Ag100,CH3,beef_vdw,relaxed,-26.051,-1.61,+24.438,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. CH3_Ag100,
Ag100,CH3,beef_vdw,SPE,-25.989,-1.61,+24.379,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/singlepoint/beef_vdw
Ag100,CO,pbe,relaxed,-0.976,-0.50,+0.471,Screened Perlmutter result: CO_Ag100,
Ag100,CO,pbe,SPE,-0.961,-0.50,+0.461,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/PBE
Ag100,CO,pbe_d3,relaxed,-1.184,-0.50,+0.679,Screened Perlmutter result: CO_Ag100,
Ag100,CO,pbe_d3,SPE,-1.090,-0.50,+0.590,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/PBE_D3
Ag100,CO,r2scan,relaxed,-1.473,-0.50,+0.968,Screened Perlmutter result: CO_Ag100,
Ag100,CO,r2scan,SPE,-1.400,-0.50,+0.900,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/r2scan
Ag100,CO,beef_vdw,relaxed,—,-0.50,—,No previously published energy; current audit: Not converged. CO_Ag100: complex: ZBRENT: fatal error in bracketing; complex: unfinished; slab: converged; molecule: converged,
Ag100,CO,beef_vdw,SPE,queued,-0.50,—,,
Ag100,CO2,pbe,relaxed,-1.18,-0.36,+0.82,"Previously published energy retained; current audit: Slab size mismatch. CO2_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: converged; slab: converged; molecule: converged",
Ag100,CO2,pbe,SPE,-0.017,-0.36,-0.346,Previously published single-point result,
Ag100,CO2,pbe_d3,relaxed,—,-0.36,—,"No previously published energy; current audit: Slab size mismatch. CO2_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: converged; slab: converged; molecule: electronic_unconverged",
Ag100,CO2,pbe_d3,SPE,queued,-0.36,—,,
Ag100,CO2,r2scan,relaxed,-2.17,-0.36,+1.80,"Previously published energy retained; current audit: Slab size mismatch. CO2_Ag100: slab size mismatch: complex has 64 Ag, reference has 36; complex: unfinished; slab: converged; molecule: converged",
Ag100,CO2,r2scan,SPE,+0.130,-0.36,-0.492,Previously published single-point result,
Ag100,CO2,beef_vdw,relaxed,-44.332,-0.36,+43.972,"Shared stored references; converged components, matching functional/composition/full slab cell and stored core settings. Archived Kestrel records retain their source provenance. POTCAR variants allowed; no energy scaling or offsets. Slab: /kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/beef_vdw ENERGY REVIEW: |E_ads| > 5 eV.",
Ag100,CO2,beef_vdw,SPE,-0.152,-0.36,-0.211,Previously published single-point result,
Ag100,DME,pbe,relaxed,—,-0.24,—,No previously published energy; current audit: Not converged. CH3OCH3_Ag100: molecule: ZBRENT: fatal error in bracketing; complex: converged; slab: converged; molecule: unfinished,
Ag100,DME,pbe,SPE,refs missing,-0.24,—,,
Ag100,DME,pbe_d3,relaxed,—,-0.24,—,No previously published energy; current audit: Not converged. CH3OCH3_Ag100: molecule: ZBRENT: fatal error in bracketing; complex: converged; slab: converged; molecule: unfinished,
Ag100,DME,pbe_d3,SPE,refs missing,-0.24,—,,
Ag100,DME,r2scan,relaxed,-1.33,-0.24,+1.09,Previously published energy retained; current audit: Not converged. CH3OCH3_Ag100: See component convergence statuses; complex: unfinished; slab: converged; molecule: converged,
Ag100,DME,r2scan,SPE,-1.229,-0.24,+0.989,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_DME/singlepoint/r2scan
Ag100,DME,beef_vdw,relaxed,-25.261,-0.24,+25.021,Converged Perlmutter result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics. CH3OCH3_Ag100,
Ag100,DME,beef_vdw,SPE,-25.190,-0.24,+24.950,Perlmutter converged NSW=0 result; ENERGY REVIEW: |E_ads| > 5 eV; excluded from figure statistics,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Ag100/singlepoint/beef_vdw
Ag100,H2,pbe,relaxed,-0.62,-0.25,+0.36,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,H2,pbe,SPE,-0.592,-0.25,+0.342,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/PBE
Ag100,H2,pbe_d3,relaxed,-0.70,-0.25,+0.45,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,H2,pbe_d3,SPE,-0.585,-0.25,+0.335,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/PBE_D3
Ag100,H2,r2scan,relaxed,-1.10,-0.25,+0.84,Previously published energy retained; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,H2,r2scan,SPE,-0.993,-0.25,+0.743,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/r2scan
Ag100,H2,beef_vdw,relaxed,—,-0.25,—,No previously published energy; current audit: Not audited. No matching result in the current Perlmutter audit,
Ag100,H2,beef_vdw,SPE,—,-0.25,—,,
Ag100,H2O,pbe,relaxed,-0.814,-0.50,+0.311,Screened Perlmutter result: H2O_Ag100,
Ag100,H2O,pbe,SPE,-0.790,-0.50,+0.290,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2O/singlepoint/PBE
Ag100,H2O,pbe_d3,relaxed,-1.000,-0.50,+0.496,Screened Perlmutter result: H2O_Ag100,
Ag100,H2O,pbe_d3,SPE,-0.875,-0.50,+0.375,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2O/singlepoint/PBE_D3
Ag100,H2O,r2scan,relaxed,-1.377,-0.50,+0.873,Screened Perlmutter result: H2O_Ag100,
Ag100,H2O,r2scan,SPE,-1.249,-0.50,+0.749,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2O/singlepoint/r2scan
Ag100,H2O,beef_vdw,relaxed,—,-0.50,—,No previously published energy; current audit: Not converged. H2O_Ag100: complex: ZBRENT: fatal error in bracketing; complex: unfinished; slab: converged; molecule: converged,
Ag100,H2O,beef_vdw,SPE,queued,-0.50,—,,
Ag100,H2S,pbe,relaxed,-0.843,-0.44,+0.406,Screened Perlmutter result: H2S_Ag100,
