surface,molecule,functional,system,E_ads_DFT,E_ads_ML,delta_eV
Ag100,CH3,pbe,CH3_Ag100,-1.8566672900000007,-1.613697,0.2429702900000008
Ag100,CH3,pbe_d3,CH3_Ag100,-2.087365059999989,-1.613697,0.4736680599999892
Ag100,CH3,r2scan,CH3_Ag100,-2.2391189499999093,-1.613697,0.6254219499999094
Ag100,CO,pbe,CO_Ag100,-0.9758193699999946,-0.504776,0.47104336999999463
Ag100,CO,pbe_d3,CO_Ag100,-1.1835239200000007,-0.504776,0.6787479200000007
Ag100,CO,r2scan,CO_Ag100,-1.4732502699999728,-0.504776,0.9684742699999728
Ag100,H2O,pbe,H2O_Ag100,-0.8144197100000063,-0.503517,0.31090271000000635
Ag100,H2O,pbe_d3,H2O_Ag100,-0.9999326599999971,-0.503517,0.49641565999999715
Ag100,H2O,r2scan,H2O_Ag100,-1.3769329599999125,-0.503517,0.8734159599999125
Ag100,H2S,pbe,H2S_Ag100,-0.8425382799999941,-0.436757,0.4057812799999941
Ag100,H2S,pbe_d3,H2S_Ag100,-1.1729375499999897,-0.436757,0.7361805499999896
Ag100,N2,r2scan,N2_Ag100,-1.1130986899999087,-0.050966,1.0621326899999086
Ag100,NH3,pbe_d3,NH3_Ag100,-1.2745866800000023,-0.726921,0.5476656800000023
Ag100,NH3,r2scan,NH3_Ag100,-1.6099164399999992,-0.726921,0.8829954399999992
Ag100,NO,pbe_d3,NO_Ag100,-1.838762649999996,-0.667753,1.171009649999996
Ag100,SO2,pbe,SO2_Ag100,-1.3239361999999986,-0.544329,0.7796071999999986
Ag100,SO2,pbe_d3,SO2_Ag100,-1.834133529999999,-0.544329,1.2898045299999992
Ag100,SO2,r2scan,SO2_Ag100,-2.201377189999935,-0.544329,1.657048189999935
Ag100,acetaldehyde,pbe,CH3CHO_Ag100,-0.7187091999999993,-0.499104,0.21960519999999928
Ag100,acetaldehyde,pbe_d3,CH3CHO_Ag100,-1.030685709999993,-0.499104,0.5315817099999931
Ag100,acetic_acid,r2scan,CH3COOH_Ag100,-1.4644092899999777,-0.578278,0.8861312899999777
Ag100,ethene,pbe,C2H4_Ag100,-0.681988969999999,-0.206692,0.47529696999999904
Ag100,ethene,pbe_d3,C2H4_Ag100,-1.0587449699999958,-0.206692,0.8520529699999958
Ag100,formaldehyde,pbe,H2CO_Ag100,-0.7188690899999948,-0.320557,0.3983120899999948
Ag100,formaldehyde,pbe_d3,H2CO_Ag100,-0.931805279999999,-0.320557,0.611248279999999
Ag100,formic_acid,pbe,HCOOH_Ag100,-0.8331674099999979,-0.401838,0.43132940999999797
