surface,molecule,functional,E_ads_DFT,E_ads_ML,delta_eV,source_commit
Ag100,CH3,pbe,-1.857,-1.61,+0.243,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,CH3,pbe_d3,-2.087,-1.61,+0.474,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,CH3,r2scan,-2.24,-1.61,+0.62,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,CO,pbe,-0.976,-0.50,+0.471,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,CO,pbe_d3,-1.184,-0.50,+0.679,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,CO,r2scan,-1.473,-0.50,+0.968,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,CO2,pbe,-1.18,-0.36,+0.82,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,CO2,r2scan,-2.17,-0.36,+1.80,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,DME,r2scan,-1.33,-0.24,+1.09,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2,pbe,-0.62,-0.25,+0.36,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2,pbe_d3,-0.70,-0.25,+0.45,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2,r2scan,-1.10,-0.25,+0.84,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2O,pbe,-0.814,-0.50,+0.311,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2O,pbe_d3,-1.000,-0.50,+0.496,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2O,r2scan,-1.377,-0.50,+0.873,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2S,pbe,-0.843,-0.44,+0.406,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,H2S,pbe_d3,-1.173,-0.44,+0.736,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,N2,pbe,-0.64,-0.05,+0.59,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,N2,pbe_d3,-0.71,-0.05,+0.66,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,N2,r2scan,-1.113,-0.05,+1.062,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,NH3,pbe,-1.05,-0.73,+0.32,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,NH3,pbe_d3,-1.275,-0.73,+0.548,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,NH3,r2scan,-1.610,-0.73,+0.883,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,NO,pbe,-1.59,-0.67,+0.92,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,NO,pbe_d3,-1.839,-0.67,+1.171,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,NO,r2scan,-2.54,-0.67,+1.87,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,O2,pbe,-1.68,-0.72,+0.96,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,SO2,pbe,-1.324,-0.54,+0.780,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,SO2,pbe_d3,-1.834,-0.54,+1.290,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,acetaldehyde,pbe,-0.719,-0.50,+0.220,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,acetaldehyde,pbe_d3,-1.031,-0.50,+0.532,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,acetaldehyde,r2scan,-1.32,-0.50,+0.82,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,acetic_acid,r2scan,-1.464,-0.58,+0.886,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethane,pbe,-1.18,-0.29,+0.89,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethane,pbe_d3,-1.48,-0.29,+1.18,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethane,r2scan,-2.15,-0.29,+1.86,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethanol,pbe,-1.31,-0.44,+0.88,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethanol,pbe_d3,-1.66,-0.44,+1.23,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethanol,r2scan,-2.25,-0.44,+1.81,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethene,pbe,-0.682,-0.21,+0.475,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethene,pbe_d3,-1.059,-0.21,+0.852,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,ethene,r2scan,-1.27,-0.21,+1.07,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formaldehyde,pbe,-0.719,-0.32,+0.398,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formaldehyde,pbe_d3,-0.932,-0.32,+0.611,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formate,pbe,-3.62,-2.21,+1.41,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formate,pbe_d3,-3.97,-2.21,+1.76,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formate,r2scan,-4.78,-2.21,+2.57,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formic_acid,pbe,-0.833,-0.40,+0.431,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formic_acid,pbe_d3,-1.145,-0.40,+0.743,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,formic_acid,r2scan,-1.43,-0.40,+1.03,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,glycerol,pbe,-1.35,-0.68,+0.67,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,glycerol,pbe_d3,-1.94,-0.68,+1.26,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,glycerol,r2scan,-2.55,-0.68,+1.87,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,isopropanol,pbe,-1.32,-0.49,+0.83,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,isopropanol,pbe_d3,-1.76,-0.49,+1.27,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,isopropanol,r2scan,-2.41,-0.49,+1.93,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,methane,pbe,-0.636,-0.42,+0.218,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,methane,pbe_d3,-0.801,-0.42,+0.383,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,methane,r2scan,-1.149,-0.42,+0.731,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,methanol,pbe,-0.789,-0.40,+0.388,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,methanol,pbe_d3,-1.076,-0.40,+0.675,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,methanol,r2scan,-1.38,-0.40,+0.97,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propane,pbe,-1.18,-0.31,+0.87,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propane,pbe_d3,-1.58,-0.31,+1.27,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propane,r2scan,-2.22,-0.31,+1.91,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propanol,pbe,-1.33,-0.47,+0.86,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propanol,pbe_d3,-1.70,-0.47,+1.23,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propanol,r2scan,-2.39,-0.47,+1.92,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propene,pbe,-1.23,-0.21,+1.02,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propene,pbe_d3,-1.77,-0.21,+1.56,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag100,propene,r2scan,-2.27,-0.21,+2.06,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CH3,pbe,-1.595,-1.77,-0.180,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CH3,pbe_d3,-1.792,-1.77,+0.018,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CH3,r2scan,-1.861,-1.77,+0.086,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO,pbe,-0.755,-0.57,+0.187,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO,pbe_d3,-0.944,-0.57,+0.376,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO,r2scan,-1.143,-0.57,+0.576,11b026e8de754c84d5b784e3036e0063b5e3c391
Ag110,CO2,pbe,-0.424,-0.39,+0.032,11b026e8de754c84d5b784e3036e0063b5e3c391
