surface,molecule,functional,system,E_ads_DFT,E_ads_ML,delta_eV
Ag100,CH3,beef_vdw,CH3_Ag100,-26.051207939999998,-1.613697,24.43751094
Ag100,DME,beef_vdw,CH3OCH3_Ag100,-25.26139518,-0.240547,25.02084818
Ag100,H2S,beef_vdw,H2S_Ag100,-25.183893350000005,-0.436757,24.747136350000005
Ag100,NH3,beef_vdw,NH3_Ag100,-25.354029630000003,-0.726921,24.627108630000002
Ag100,NO,beef_vdw,NO_Ag100,-32.43664413,-0.667753,31.768891129999997
Ag100,SO2,beef_vdw,SO2_Ag100,-25.671553440000004,-0.544329,25.127224440000003
Ag100,acetaldehyde,beef_vdw,CH3CHO_Ag100,-25.176447869999997,-0.499104,24.677343869999998
Ag100,acetic_acid,beef_vdw,CH3COOH_Ag100,-25.282193520000007,-0.578278,24.703915520000006
Ag100,ethene,beef_vdw,C2H4_Ag100,-25.12091067,-0.206692,24.91421867
Ag100,formaldehyde,beef_vdw,H2CO_Ag100,-25.106303099999998,-0.320557,24.785746099999997
Ag100,formic_acid,beef_vdw,HCOOH_Ag100,-25.221082900000003,-0.401838,24.8192449
Ag100,methane,beef_vdw,CH4_Ag100,-24.994363860000004,-0.417955,24.576408860000004
Ag100,methanol,beef_vdw,CH3OH_Ag100,-25.213772560000006,-0.401287,24.812485560000006
Ag110,CH3,beef_vdw,CH3_Ag110,-17.65821468,-1.77462,15.88359468
Ag110,CO,beef_vdw,CO_Ag110,-16.791612710000003,-0.567539,16.224073710000003
Ag110,CO2,beef_vdw,CO2_Ag110,-16.756081000000002,-0.392284,16.363797
Ag110,DME,beef_vdw,CH3OCH3_Ag110,-16.98092047,-0.31028,16.670640470000002
Ag110,H2S,beef_vdw,H2S_Ag110,-16.869469480000003,-0.503373,16.366096480000003
Ag110,N2,beef_vdw,N2_Ag110,-16.594448810000006,-0.051291,16.543157810000007
Ag110,NH3,beef_vdw,NH3_Ag110,-17.009569940000002,-0.807743,16.201826940000004
Ag110,SO2,beef_vdw,SO2_Ag110,-17.20409756,-0.681448,16.52264956
Ag110,acetaldehyde,beef_vdw,CH3CHO_Ag110,-16.876191150000004,-0.588154,16.288037150000005
Ag110,acetic_acid,beef_vdw,CH3COOH_Ag110,-16.998148050000005,-0.675636,16.322512050000004
Ag110,ethane,beef_vdw,C2H6_Ag110,-16.751209630000005,-0.380138,16.371071630000007
Ag110,ethene,beef_vdw,C2H4_Ag110,-16.88632982,-0.408871,16.47745882
Ag110,formaldehyde,beef_vdw,H2CO_Ag110,-16.822445710000004,-0.407906,16.414539710000003
Ag110,formic_acid,beef_vdw,HCOOH_Ag110,-16.933679320000007,-0.483854,16.449825320000006
Ag110,methane,beef_vdw,CH4_Ag110,-16.65229812,-0.459803,16.19249512
Ag110,methanol,beef_vdw,CH3OH_Ag110,-16.930066070000006,-0.476879,16.453187070000006
Ag111,CO2,beef_vdw,CO2_Ag111,-44.47945871,-0.356842,44.12261671
Ag111,ethane,beef_vdw,C2H6_Ag111,-44.52285035,-0.274319,44.24853135
Ag111,ethanol,beef_vdw,CH3CH2OH_Ag111,-44.646996179999995,-0.375816,44.271180179999995
Cu110,CH3,beef_vdw,CH3_Cu110,-32.37965406,-2.267239,30.11241506
Cu110,CO2,beef_vdw,CO2_Cu110,-30.9475883,-0.407398,30.5401903
Cu110,DME,beef_vdw,CH3OCH3_Cu110,-31.289139389999995,-0.343697,30.945442389999997
Cu110,H2S,beef_vdw,H2S_Cu110,-31.21208079,-0.614415,30.59766579
Cu110,N2,beef_vdw,N2_Cu110,-30.865305870000004,-0.249979,30.615326870000004
Cu110,NH3,beef_vdw,NH3_Cu110,-31.413605880000002,-1.050667,30.36293888
Cu110,NO,beef_vdw,NO_Cu110,-38.76836773,-1.566687,37.20168073
Cu110,SO2,beef_vdw,SO2_Cu110,-31.980595039999997,-1.329317,30.651278039999998
Cu110,acetaldehyde,beef_vdw,CH3CHO_Cu110,-31.177019269999995,-0.750141,30.426878269999996
Cu110,acetic_acid,beef_vdw,CH3COOH_Cu110,-31.36855768000001,-0.859619,30.50893868000001
Cu110,ethane,beef_vdw,C2H6_Cu110,-30.9610256,-0.426151,30.5348746
Cu110,ethene,beef_vdw,C2H4_Cu110,-31.314827700000002,-0.807285,30.507542700000002
Cu110,formaldehyde,beef_vdw,H2CO_Cu110,-31.09486853,-0.624222,30.47064653
Cu110,formic_acid,beef_vdw,HCOOH_Cu110,-31.273614240000004,-0.686584,30.587030240000004
Cu110,methane,beef_vdw,CH4_Cu110,-30.86152247,-0.497484,30.36403847
Cu110,methanol,beef_vdw,CH3OH_Cu110,-31.259366410000002,-0.592899,30.666467410000003
Cu111,CH3,beef_vdw,CH3_Cu111,-82.99834384,-1.867279,81.13106484000001
Cu111,DME,beef_vdw,CH3OCH3_Cu111,-82.09876800999999,-0.216393,81.88237500999999
Cu111,H2O,beef_vdw,H2O_Cu111,-81.83773808,-0.475266,81.36247207999999
Cu111,H2S,beef_vdw,H2S_Cu111,-82.01312372,-0.383779,81.62934471999999
Cu111,N2,beef_vdw,N2_Cu111,-81.78871142,-0.080111,81.70860042
Cu111,NH3,beef_vdw,NH3_Cu111,-82.2710048,-0.77919,81.4918148
Cu111,NO,beef_vdw,NO_Cu111,-89.77616832,-1.412848,88.36332032
Cu111,SO2,beef_vdw,SO2_Cu111,-82.40819614,-0.717821,81.69037514
Cu111,acetaldehyde,beef_vdw,CH3CHO_Cu111,-82.06968355000001,-0.449894,81.61978955000001
Cu111,acetic_acid,beef_vdw,CH3COOH_Cu111,-82.17332486999999,-0.590637,81.58268786999999
Cu111,ethane,beef_vdw,C2H6_Cu111,-81.95512989,-0.287235,81.66789489
Cu111,ethanol,beef_vdw,CH3CH2OH_Cu111,-82.09684037,-0.380516,81.71632437
Cu111,ethene,beef_vdw,C2H4_Cu111,-81.97540857999999,-0.185497,81.78991158
Cu111,formaldehyde,beef_vdw,H2CO_Cu111,-81.98452935,-0.265747,81.71878235
Cu111,methane,beef_vdw,CH4_Cu111,-81.86045327000001,-0.411806,81.44864727000001
Ir100,NO,beef_vdw,NO_Ir100,-9.599372490000002,-2.830984,6.768388490000002
Ir110,NO,beef_vdw,NO_Ir110,-9.82579438,-3.109152,6.71664238
Ir111,NO,beef_vdw,NO_Ir111,-8.858306600000015,-2.498312,6.3599946000000145
Pd100,CH3,beef_vdw,CH3_Pd100,-19.581741620000003,-2.499969,17.081772620000002
Pd100,CO,beef_vdw,CO_Pd100,-19.550489570000003,-2.314308,17.236181570000003
Pd100,DME,beef_vdw,CH3OCH3_Pd100,-18.348847139999997,-0.513927,17.834920139999998
Pd100,H2O,beef_vdw,H2O_Pd100,-18.118476009999995,-0.732178,17.386298009999994
Pd100,H2S,beef_vdw,H2S_Pd100,-18.61529334,-1.211888,17.40340534
Pd100,NH3,beef_vdw,NH3_Pd100,-18.61452586999999,-1.337326,17.27719986999999
Pd100,NO,beef_vdw,NO_Pd100,-26.727879549999994,-2.367254,24.360625549999995
Pd100,SO2,beef_vdw,SO2_Pd100,-19.206757009999997,-1.682848,17.523909009999997
Pd100,acetaldehyde,beef_vdw,CH3CHO_Pd100,-18.286630179999996,-0.707111,17.579519179999995
Pd100,acetic_acid,beef_vdw,CH3COOH_Pd100,-18.428209780000003,-0.777206,17.651003780000003
Pd100,ethene,beef_vdw,C2H4_Pd100,-18.79539823999999,-1.439617,17.355781239999992
Pd100,formaldehyde,beef_vdw,H2CO_Pd100,-18.455523669999998,-1.222183,17.233340669999997
Pd100,formic_acid,beef_vdw,HCOOH_Pd100,-18.366603029999997,-0.730543,17.636060029999996
Pd100,methane,beef_vdw,CH4_Pd100,-17.96710226,-0.608706,17.35839626
Pd100,methanol,beef_vdw,CH3OH_Pd100,-18.266964579999996,-0.63644,17.630524579999996
Pd110,CH3,beef_vdw,CH3_Pd110,-13.744236530000002,-2.487022,11.257214530000002
Pd110,CO,beef_vdw,CO_Pd110,-13.70763738,-2.273506,11.43413138
Pd110,CO2,beef_vdw,CO2_Pd110,-12.089169949999999,-0.481079,11.60809095
Pd110,DME,beef_vdw,CH3OCH3_Pd110,-12.455043179999997,-0.554893,11.900150179999997
Pd110,H2S,beef_vdw,H2S_Pd110,-12.78146366,-1.248731,11.53273266
Pd110,NO,beef_vdw,NO_Pd110,-20.98131053,-2.414068,18.567242529999998
Pd110,SO2,beef_vdw,SO2_Pd110,-13.526222429999999,-1.663042,11.86318043
Pd110,acetaldehyde,beef_vdw,CH3CHO_Pd110,-12.352341869999997,-0.795628,11.556713869999996
Pd110,acetic_acid,beef_vdw,CH3COOH_Pd110,-12.53584232,-0.854538,11.68130432
Pd110,ethene,beef_vdw,C2H4_Pd110,-12.946901839999995,-1.601023,11.345878839999996
Pd110,formaldehyde,beef_vdw,H2CO_Pd110,-12.670983020000001,-1.042313,11.628670020000001
Pd110,formic_acid,beef_vdw,HCOOH_Pd110,-12.456518669999998,-0.79022,11.666298669999998
Pd110,methane,beef_vdw,CH4_Pd110,-12.008355179999999,-0.628511,11.37984418
