surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP,ML_minus_SPE_minus_relaxed_DFT,E_ads_ML_relaxed_displayed,E_ads_DFT_relaxed_displayed,provenance,complex_directory
Ag100,CH3,pbe,-1.83900080,-1.61,0.22900080,2.08600080,-1.61,-1.857,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/PBE
Ag100,CH3,pbe_d3,-1.98716845,-1.61,0.37716845,2.46416845,-1.61,-2.087,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/PBE_D3
Ag100,CH3,r2scan,-2.14481128,-1.61,0.53481128,2.77381128,-1.61,-2.239,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/r2scan
Ag100,CO,pbe,-0.96149176,-0.50,0.46149176,1.43749176,-0.50,-0.976,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/PBE
Ag100,CO,pbe_d3,-1.08974976,-0.50,0.58974976,1.77374976,-0.50,-1.184,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/PBE_D3
Ag100,CO,r2scan,-1.39957917,-0.50,0.89957917,2.37257917,-0.50,-1.473,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/r2scan
Ag100,CO2,pbe,-0.016716,-0.362564,-0.345848,0.836716,-0.36,-1.18,Previously published single-point result,
Ag100,CO2,r2scan,0.129711,-0.362564,-0.492275,1.680289,-0.36,-2.17,Previously published single-point result,
Ag100,CO2,beef_vdw,-0.151821,-0.362564,-0.210743,,-0.36,,Previously published single-point result,
Ag100,DME,r2scan,-1.22879125,-0.24,0.98879125,2.31879125,-0.24,-1.33,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_DME/singlepoint/r2scan
Ag100,H2,pbe,-0.59191114,-0.25,0.34191114,0.96191114,-0.25,-0.62,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/PBE
Ag100,H2,pbe_d3,-0.58491653,-0.25,0.33491653,1.03491653,-0.25,-0.70,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/PBE_D3
Ag100,H2,r2scan,-0.99311016,-0.25,0.74311016,1.84311016,-0.25,-1.10,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/r2scan
Ag100,H2O,pbe,-0.78954563,-0.50,0.28954563,1.10354563,-0.50,-0.814,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2O/singlepoint/PBE
Ag100,H2O,pbe_d3,-0.87509706,-0.50,0.37509706,1.37509706,-0.50,-1.000,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2O/singlepoint/PBE_D3
Ag100,H2O,r2scan,-1.24885914,-0.50,0.74885914,2.12585914,-0.50,-1.377,Kestrel NSW=0 complex with converged relaxed slab and molecule references,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2O/singlepoint/r2scan
