surface,molecule,functional,E_ads_DFT_SP,E_ads_ML_SP,delta_SP
Ag100,CO2,pbe,-0.016716,-0.362564,-0.345848
Ag100,CO2,r2scan,0.129711,-0.362564,-0.492275
Ag100,CO2,beef_vdw,-0.151821,-0.362564,-0.210743
Ag100,ethane,pbe,-0.020495,-0.294643,-0.274149
Ag100,ethane,pbe_d3,-0.021602,-0.294643,-0.273042
Ag100,ethane,r2scan,0.136341,-0.294643,-0.430985
Ag100,ethane,beef_vdw,-0.186172,-0.294643,-0.108471
Ag100,ethanol,pbe,-0.149495,-0.436077,-0.286582
Ag100,ethanol,pbe_d3,-0.236753,-0.436077,-0.199324
Ag100,ethanol,r2scan,-0.085159,-0.436077,-0.350918
Ag100,ethanol,beef_vdw,-0.353607,-0.436077,-0.08247
Ag100,ethene,pbe,-0.020847,-0.206692,-0.185845
Ag100,ethene,pbe_d3,-0.103482,-0.206692,-0.103209
Ag100,ethene,r2scan,0.060396,-0.206692,-0.267088
Ag100,ethene,beef_vdw,-0.181867,-0.206692,-0.024825
Ag100,glycerol,pbe,-0.117322,-0.682686,-0.565363
Ag100,glycerol,pbe_d3,-0.430144,-0.682686,-0.252541
Ag100,glycerol,r2scan,-0.187839,-0.682686,-0.494846
Ag100,glycerol,beef_vdw,-0.579611,-0.682686,-0.103075
Ag110,ethanol,pbe,-0.224505,-0.545704,-0.321199
Ag110,ethanol,pbe_d3,-0.474308,-0.545704,-0.071396
Ag110,ethanol,r2scan,-0.239902,-0.545704,-0.305802
Ag110,ethanol,beef_vdw,-0.372079,-0.545704,-0.173625
Ag110,ethene,pbe,-0.141595,-0.407467,-0.265872
Ag110,ethene,pbe_d3,-0.411256,-0.407467,0.003789
Ag110,ethene,r2scan,-0.179103,-0.407467,-0.228364
Ag110,ethene,beef_vdw,-0.156003,-0.407467,-0.251464
Ag110,isopropanol,pbe,-0.237413,-0.585964,-0.348551
Ag110,isopropanol,pbe_d3,-0.587492,-0.585964,0.001527
Ag110,isopropanol,r2scan,-0.294978,-0.585964,-0.290986
Ag110,isopropanol,beef_vdw,-0.463207,-0.585964,-0.122757
Ag110,propanol,pbe,-0.243158,-0.544685,-0.301528
Ag110,propanol,pbe_d3,-0.5436,-0.544685,-0.001085
Ag110,propanol,r2scan,-0.255189,-0.544685,-0.289496
Ag110,propanol,beef_vdw,-0.434177,-0.544685,-0.110508
Ag111,CO2,pbe,-0.001847,-0.356842,-0.354995
Ag111,CO2,r2scan,-0.008145,-0.356842,-0.348697
Ag111,CO2,beef_vdw,-0.15301,-0.356842,-0.203832
Ag111,ethane,pbe,-0.001734,-0.274319,-0.272584
Ag111,ethane,pbe_d3,-0.133735,-0.274319,-0.140584
Ag111,ethane,r2scan,0.000281,-0.274319,-0.2746
Ag111,ethane,beef_vdw,-0.200327,-0.274319,-0.073992
Ag111,ethanol,pbe,-0.085274,-0.375816,-0.290542
Ag111,ethanol,pbe_d3,-0.271032,-0.375816,-0.104784
Ag111,ethanol,r2scan,-0.157044,-0.375816,-0.218772
Ag111,ethanol,beef_vdw,-0.309854,-0.375816,-0.065962
Ag111,ethene,pbe,-0.033948,-0.1674,-0.133452
Ag111,ethene,pbe_d3,-0.183861,-0.1674,0.01646
Ag111,ethene,r2scan,-0.062174,-0.1674,-0.105226
Ag111,ethene,beef_vdw,-0.223215,-0.1674,0.055815
Ag111,propanol,pbe,-0.114057,-0.38913,-0.275073
Ag111,propanol,pbe_d3,-0.408185,-0.38913,0.019055
Ag111,propanol,r2scan,-0.211786,-0.38913,-0.177344
Ag111,propanol,beef_vdw,-0.438748,-0.38913,0.049618
Au111,CO,beef_vdw,-0.257631,-0.587914,-0.330282
Au111,CO2,pbe,0.012193,-0.397263,-0.409456
Au111,CO2,r2scan,0.102859,-0.397263,-0.500121
Au111,CO2,beef_vdw,-0.157386,-0.397263,-0.239876
Au111,DME,beef_vdw,-0.43814,-0.160542,0.277598
Au111,H2,beef_vdw,-0.341399,-0.242908,0.098491
Au111,H2O,beef_vdw,-0.44983,-0.513962,-0.064132
Au111,H2S,beef_vdw,-0.548898,-0.40772,0.141179
Au111,N2,beef_vdw,-0.417933,-0.085428,0.332504
Au111,NH3,beef_vdw,-0.495494,-0.536507,-0.041012
Au111,NO,beef_vdw,-7.661978,-0.68453,6.977448
Au111,SO2,beef_vdw,-0.645305,-0.260836,0.38447
Au111,acetaldehyde,beef_vdw,-0.635973,-0.267429,0.368544
