surface,molecule,functional,E_ads_ML,E_ads_relaxed,E_ads_SPE,relaxed_status,SPE_status,completion_job_directory,relaxed_energy_review,SPE_energy_review,dft_contact_available,required_CONTCAR
Ag100,CH3,pbe,-1.61,,,refs unverified,potential mismatch,,False,False,True,
Ag100,CH3,pbe_d3,-1.61,,,refs unverified,potential mismatch,,False,False,True,
Ag100,CH3,r2scan,-1.61,,,refs unverified,potential mismatch,,False,False,True,
Ag100,CH3,beef_vdw,-1.61,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,CO,pbe,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag100,CO,pbe_d3,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag100,CO,r2scan,-0.5,,,refs unverified,potential mismatch,,False,False,True,
Ag100,CO,beef_vdw,-0.5,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,CO2,pbe,-0.36,-0.026,-0.017,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,False,False,True,
Ag100,CO2,pbe_d3,-0.36,,,slab_mismatch,reference_unavailable,,False,False,True,
Ag100,CO2,r2scan,-0.36,,0.123,refs unverified,available,,False,False,True,
Ag100,CO2,beef_vdw,-0.36,-0.244,-0.154,available,available,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,False,False,True,
Ag100,DME,pbe,-0.24,,,potential_mismatch,potential mismatch,/pscratch/sd/j/jcho5/VASP/completion_runs/dme_references_davidson_20260915/molecule/DME/PBE,False,False,True,
Ag100,DME,pbe_d3,-0.24,,,potential_mismatch,potential mismatch,/pscratch/sd/j/jcho5/VASP/completion_runs/dme_references_davidson_20260915/molecule/DME/PBE_D3,False,False,True,
Ag100,DME,r2scan,-0.24,,,refs unverified,potential mismatch,,False,False,True,
Ag100,DME,beef_vdw,-0.24,,,potential_mismatch,potential mismatch,,False,False,True,
Ag100,H2,pbe,-0.25,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag100,H2,pbe_d3,-0.25,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE/fully_relaxed/CONTCAR
Ag100,H2,r2scan,-0.25,,,refs unverified,refs unverified,,False,False,False,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE/fully_relaxed/CONTCAR
