cluster,role,surface,molecule,functional,mode,status,E_TOTEN_eV,composition,directory,snapshot_id,source_kind,note
kestrel,complex,Ag100,CH3,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE,a4dd9f30fd0e49fdccade943048f51c249513d5f72c365e1314b77963ee9fe19,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,CH3,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE_D3,e5112cf497683ee99d4f415ce5499e4b730e82896bc2e61a7bb1fcaaae4a3bb6,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,CH3,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/beef_vdw,2941a7239d9bbc3a6a76a458f931166fbe8c63fbb1ecea06de21976fb280c8df,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,CH3,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/r2scan,086743044cf1cfc69ccc48f06020205ef03b688c26d40cfe37f610a822d71c4a,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,methane,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE,e41cb6167c623a93012ea756e7d4ceb7c1a564e2811452dd26ee22c2fbd3e537,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,methane,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE_D3,35dc4fead3f1d67655232b311965f800c87e6185a9c5037d744f6c1e2a6ee356,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE_D3/OUTCAR.gz'
kestrel,complex,Ag100,methane,beef_vdw,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/beef_vdw,9eaf6db94b2aedf1b96bad7e5da134abc389020bf3573f92aa5dc03bf234fedc,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/beef_vdw/OUTCAR.gz'
kestrel,complex,Ag100,methane,r2scan,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/r2scan,93a8726d7f419c8ec47c936ed8e50d0d159b0c87aba2bb02e357cc967ae21724,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/r2scan/OUTCAR.gz'
kestrel,complex,Ag100,CO,pbe,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE,d9ecd3b9bf277cf5cc473cdf11a996e8eb93917bc3d17796de3b2a65cb0f30fc,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE/OUTCAR.gz'
kestrel,complex,Ag100,CO,pbe_d3,SPE,invalid,,{},/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE_D3,97d674422d7cb6091615953d3202c477a6c0be6dbefaff30b1cb705a6e017163,archived-source-export,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE_D3/OUTCAR.gz'
