surface,molecule,functional,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,matching_slab_references,matching_molecule_references,selected
Ag100,CH3,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.83900080,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CH3/PBE,-110.1557121,-90.12407184,-18.19263946,1000,500,1,1,true
Ag100,CH3,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.98716845,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CH3/PBE_D3,-122.58167809,-102.4003605,-18.19414914,1000,500,1,1,true
Ag100,CH3,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-2.14481128,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CH3/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CH3/r2scan,-780.43970935,-759.06403021,-19.23086786,1000,500,1,1,true
Ag100,CO,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.96149176,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO/PBE,-105.86594597,-90.12407184,-14.78038237,1000,500,1,1,true
Ag100,CO,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-1.08974976,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO/PBE_D3,-118.27050616,-102.4003605,-14.7803959,1000,500,1,1,true
Ag100,CO,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.39957917,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO/r2scan,-776.94368414,-759.06403021,-16.48007476,1000,500,1,1,true
Ag100,CO2,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-1.17561623,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO2/PBE,-183.16623249,-159.03042104,-22.96019522,1000,500,2,1,true
Ag100,CO2,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.96100729,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C1/Ag100_CO2/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100_n64/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/CO2/r2scan,-1375.59639472,-1348.06638855,-25.56899888,1000,500,2,1,true
Ag100,DME,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-1.22879125,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C2/Ag100_DME/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/DME/r2scan,-809.43341073,-759.06403021,-49.14058927,1000,500,1,2,true
Ag100,H2,pbe,ok,NSW=0 complex; converged relaxed references; matching composition,-0.59191114,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/PBE,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/H2/PBE,-97.48261926,-90.12407184,-6.76663628,1000,500,1,1,true
Ag100,H2,pbe_d3,ok,NSW=0 complex; converged relaxed references; matching composition,-0.58491653,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/PBE_D3,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/PBE_D3,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/H2/PBE_D3,-109.75191413,-102.4003605,-6.7666371,1000,500,1,1,true
Ag100,H2,r2scan,ok,NSW=0 complex; converged relaxed references; matching composition,-0.99311016,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/C0/Ag100_H2/singlepoint/r2scan,0,/kfs3/scratch/jcho5/goad-global-optimization/vasp_slab/Ag100/r2scan,/kfs3/scratch/jcho5/goad-global-optimization/vasp_mol/H2/r2scan,-766.96071625,-759.06403021,-6.90357588,1000,500,1,1,true
