surface,molecule,functional,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,matching_slab_references,matching_molecule_references,selected
Ag100,CH3,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE,0,,,,,,,,0,0,false
Ag100,CH3,pbe_d3,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE_D3/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/PBE_D3,0,,,,,,,,0,0,false
Ag100,CH3,r2scan,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/r2scan/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/r2scan,0,,,,,,,,0,0,false
Ag100,CH3,beef_vdw,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/beef_vdw/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH3/singlepoint/beef_vdw,0,,,,,,,,0,0,false
Ag100,methane,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE,0,,,,,,,,0,0,false
Ag100,methane,pbe_d3,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE_D3/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/PBE_D3,0,,,,,,,,0,0,false
Ag100,methane,r2scan,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/r2scan/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/r2scan,0,,,,,,,,0,0,false
Ag100,methane,beef_vdw,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/beef_vdw/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CH4/singlepoint/beef_vdw,0,,,,,,,,0,0,false
Ag100,CO,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE,0,,,,,,,,0,0,false
Ag100,CO,pbe_d3,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE_D3/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/PBE_D3,0,,,,,,,,0,0,false
Ag100,CO,r2scan,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/r2scan/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/r2scan,0,,,,,,,,0,0,false
Ag100,CO,beef_vdw,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/beef_vdw/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO/singlepoint/beef_vdw,0,,,,,,,,0,0,false
Ag100,CO2,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/PBE,0,,,,,,,,0,0,false
Ag100,CO2,pbe_d3,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/PBE_D3/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/PBE_D3,0,,,,,,,,0,0,false
Ag100,CO2,r2scan,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/r2scan/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/r2scan,0,,,,,,,,0,0,false
Ag100,CO2,beef_vdw,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/beef_vdw/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_CO2/singlepoint/beef_vdw,0,,,,,,,,0,0,false
Ag100,DME,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE,0,,,,,,,,0,0,false
Ag100,DME,pbe_d3,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE_D3/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/PBE_D3,0,,,,,,,,0,0,false
Ag100,DME,r2scan,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/r2scan/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/r2scan,0,,,,,,,,0,0,false
Ag100,DME,beef_vdw,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/beef_vdw/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_DME/singlepoint/beef_vdw,0,,,,,,,,0,0,false
Ag100,H2,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE,0,,,,,,,,0,0,false
Ag100,H2,pbe_d3,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE_D3/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/PBE_D3,0,,,,,,,,0,0,false
Ag100,H2,r2scan,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/r2scan/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/r2scan,0,,,,,,,,0,0,false
Ag100,H2,beef_vdw,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/beef_vdw/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2/singlepoint/beef_vdw,0,,,,,,,,0,0,false
Ag100,H2O,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE,0,,,,,,,,0,0,false
Ag100,H2O,pbe_d3,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE_D3/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/PBE_D3,0,,,,,,,,0,0,false
Ag100,H2O,r2scan,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/r2scan/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/r2scan,0,,,,,,,,0,0,false
Ag100,H2O,beef_vdw,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/beef_vdw/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2O/singlepoint/beef_vdw,0,,,,,,,,0,0,false
Ag100,H2S,pbe,complex_unconverged,[Errno 2] No such file or directory: '/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/PBE/OUTCAR.gz',,/kfs3/scratch/jcho5/goad-global-optimization/poscar/best/Ag100_H2S/singlepoint/PBE,0,,,,,,,,0,0,false
