functional,system,surface,molecule,source_dir,E_slab_mol,E_slab,E_mol,E_ads,status,note,convergence,publishable,complex_outcar,slab_outcar,molecule_outcar,E_ads_raw,complex_potentials,complex_composition,slab_potentials,slab_composition,molecule_potentials,molecule_composition
pbe,C2H2_Ag100,Ag100,C2H2,dft_jobs,,-90.12407184,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Ag100/PBE/OUTCAR,vasp_slab/Ag100/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Ag"": ""PAW_PBE Ag_pv 09Dec2005""}","{""Ag"": 36}",{},{}
pbe,C2H2_Ag110,Ag110,C2H2,dft_jobs,,-57.34530434,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Ag110/PBE/OUTCAR,vasp_slab/Ag110/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Ag"": ""PAW_PBE Ag_pv 09Dec2005""}","{""Ag"": 24}",{},{}
pbe,C2H2_Ag111,Ag111,C2H2,dft_jobs,,-162.0788939,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Ag111/PBE/OUTCAR,vasp_slab/Ag111/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Ag"": ""PAW_PBE Ag_pv 09Dec2005""}","{""Ag"": 64}",{},{}
pbe,C2H2_Au100,Au100,C2H2,dft_jobs,,-108.11108078,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Au100/PBE/OUTCAR,vasp_slab/Au100/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Au"": ""PAW_PBE Au 04Oct2007""}","{""Au"": 36}",{},{}
pbe,C2H2_Au110,Au110,C2H2,dft_jobs,,-69.78140854,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Au110/PBE/OUTCAR,vasp_slab/Au110/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Au"": ""PAW_PBE Au 04Oct2007""}","{""Au"": 24}",{},{}
pbe,C2H2_Au111,Au111,C2H2,dft_jobs,,-196.23589709,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Au111/PBE/OUTCAR,vasp_slab/Au111/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Au"": ""PAW_PBE Au 04Oct2007""}","{""Au"": 64}",{},{}
pbe,C2H2_Ir100,Ir100,C2H2,dft_jobs,,-294.40101414,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Ir100/PBE/OUTCAR,vasp_slab/Ir100/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""Ir"": 36}",{},{}
pbe,C2H2_Ir110,Ir110,C2H2,dft_jobs,,-185.79278571,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Ir110/PBE/OUTCAR,vasp_slab/Ir110/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""Ir"": 24}",{},{}
pbe,C2H2_Ir111,Ir111,C2H2,dft_jobs,,-538.3119429,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Ir111/PBE/OUTCAR,vasp_slab/Ir111/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Ir"": ""PAW_PBE Ir 06Sep2000""}","{""Ir"": 64}",{},{}
pbe,C2H2_Pd111_bri,Pd111,C2H2,dft_jobs,,-315.98876394,,,error,Missing or non-finite component energy,complex: missing; slab: converged; molecule: missing,false,dft_jobs/C2H2_Pd111_bri/PBE/OUTCAR,vasp_slab/Pd111/PBE/OUTCAR,vasp_mol/C2H2/PBE/OUTCAR,,{},{},"{""Pd"": ""PAW_PBE Pd_pv 28Jan2005""}","{""Pd"": 64}",{},{}
