surface,molecule,functional,system,site,retry,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,complex_status,poscar_sha256,selected
Ag100,CO2,beef_vdw,CO2_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.15433353,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/beef_vdw,42.21929028,60.29424863,-17.92062482,500,500,converged,d770885c8ebd7c07083d85e6face9d8f0d0038139013be28789d95620b1a4268,true
Ag100,CO2,pbe,CO2_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.01743287,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/PBE,-183.16623831,-160.18861022,-22.96019522,500,500,converged,d770885c8ebd7c07083d85e6face9d8f0d0038139013be28789d95620b1a4268,true
Ag100,CO2,r2scan,CO2_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,0.12299383,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/r2scan,-1375.59643375,-1350.1504287,-25.56899888,500,500,converged,d770885c8ebd7c07083d85e6face9d8f0d0038139013be28789d95620b1a4268,true
Ag100,ethane,beef_vdw,C2H6_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.1887731,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/beef_vdw,21.87624489,60.29424863,-38.22923064,500,500,converged,811ce0c8d761798414962660f2e6fe30a9056968a460457d4e549fe913ac085c,true
Ag100,ethane,pbe,C2H6_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.02127531,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE,-200.70950232,-160.18861022,-40.49961679,500,500,converged,811ce0c8d761798414962660f2e6fe30a9056968a460457d4e549fe913ac085c,true
Ag100,ethane,pbe_d3,C2H6_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.00686176,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_ea6fd71f0d/pbe_d3,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE_D3,-222.64857263,-182.11563628,-40.52607459,500,500,converged,811ce0c8d761798414962660f2e6fe30a9056968a460457d4e549fe913ac085c,true
Ag100,ethane,r2scan,C2H6_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,0.12967229,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/r2scan,-1392.27645224,-1350.1504287,-42.25569583,500,500,converged,811ce0c8d761798414962660f2e6fe30a9056968a460457d4e549fe913ac085c,true
Ag100,ethanol,beef_vdw,CH3CH2OH_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.35173024,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/beef_vdw,17.19230291,60.29424863,-42.75021548,500,500,converged,f06370928a307e4abfaf19c291ebeb6565deba40a7122469b849f497c7d29620,true
Ag100,ethanol,pbe,CH3CH2OH_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.15028345,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/PBE,-207.21475608,-160.18861022,-46.87586241,500,500,converged,f06370928a307e4abfaf19c291ebeb6565deba40a7122469b849f497c7d29620,true
Ag100,ethanol,pbe_d3,CH3CH2OH_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.2241116,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_ea6fd71f0d/pbe_d3,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/PBE_D3,-229.26271216,-182.11563628,-46.92296428,500,500,converged,f06370928a307e4abfaf19c291ebeb6565deba40a7122469b849f497c7d29620,true
Ag100,ethanol,r2scan,CH3CH2OH_Ag100,,false,ok,NSW=0 complex; converged relaxed references; matching composition,-0.08762786,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Ag100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CH3CH2OH/r2scan,-1399.87764914,-1350.1504287,-49.63959258,500,500,converged,f06370928a307e4abfaf19c291ebeb6565deba40a7122469b849f497c7d29620,true
