surface,molecule,functional,system,site,retry,status,note,E_ads_SPE,complex_directory,complex_NSW,slab_directory,molecule_directory,E_complex,E_slab_relaxed,E_molecule_relaxed,slab_NSW,molecule_NSW,complex_status,poscar_sha256,selected
Ag100,acetylene,pbe,C2H2_Ag100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag100/PBE,,-113.71400825,-90.12407184,,1000,,converged,73bab6ba6fdef3c78788a43999df66c5f406ec30707dc5f0de506379ae28e96a,false
Ag100,acetylene,pbe_d3,C2H2_Ag100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag100/PBE_D3,,-126.1940574,-102.4003605,,1000,,converged,73bab6ba6fdef3c78788a43999df66c5f406ec30707dc5f0de506379ae28e96a,false
Ag100,acetylene,r2scan,C2H2_Ag100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag100/r2scan,,-784.57360481,-759.06403021,,1000,,converged,73bab6ba6fdef3c78788a43999df66c5f406ec30707dc5f0de506379ae28e96a,false
Ag100,acetylene,beef_vdw,C2H2_Ag100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag100/beef_vdw,,12.69905363,58.04168493,,1000,,converged,73bab6ba6fdef3c78788a43999df66c5f406ec30707dc5f0de506379ae28e96a,false
Ag110,acetylene,pbe,C2H2_Ag110,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag110/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag110/PBE,,-80.7064205,-57.34530434,,1000,,converged,61a01e121edc1513e227ca252a58210b703ff1fc9d4915d48ffd03125ade1f91,false
Ag110,acetylene,pbe_d3,C2H2_Ag110,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag110/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag110/PBE_D3,,-87.69923914,-64.0841207,,1000,,converged,61a01e121edc1513e227ca252a58210b703ff1fc9d4915d48ffd03125ade1f91,false
Ag110,acetylene,r2scan,C2H2_Ag110,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag110/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag110/r2scan,,-527.85307481,-502.68023804,,1000,,converged,61a01e121edc1513e227ca252a58210b703ff1fc9d4915d48ffd03125ade1f91,false
Ag110,acetylene,beef_vdw,C2H2_Ag110,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag110/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Ag110/beef_vdw,,4.651281,41.61140369,,1000,,converged,61a01e121edc1513e227ca252a58210b703ff1fc9d4915d48ffd03125ade1f91,false
Ag111,acetylene,pbe,C2H2_Ag111,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag111/singlepoint/PBE,0,,,-115.14613025,,,,,converged,a34531e60cce0d3611e4df2682b360443cb52e612448b9d252d36b00dd047914,false
Ag111,acetylene,pbe_d3,C2H2_Ag111,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag111/singlepoint/PBE_D3,0,,,-128.22539299,,,,,converged,a34531e60cce0d3611e4df2682b360443cb52e612448b9d252d36b00dd047914,false
Ag111,acetylene,r2scan,C2H2_Ag111,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag111/singlepoint/r2scan,0,,,-786.33816218,,,,,converged,a34531e60cce0d3611e4df2682b360443cb52e612448b9d252d36b00dd047914,false
Ag111,acetylene,beef_vdw,C2H2_Ag111,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag111/singlepoint/beef_vdw,0,,,11.37273514,,,,,converged,a34531e60cce0d3611e4df2682b360443cb52e612448b9d252d36b00dd047914,false
Au100,acetylene,pbe,C2H2_Au100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Au100/singlepoint/PBE,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Au100/PBE,,-131.11458131,-108.11108078,,1000,,converged,fb1df06c9c6d17c8b3dd1df3ce51e358dbdc485f812e1cb773966fb97e13e0c6,false
Au100,acetylene,pbe_d3,C2H2_Au100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Au100/singlepoint/PBE_D3,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Au100/PBE_D3,,-148.3255449,-125.13314995,,1000,,converged,fb1df06c9c6d17c8b3dd1df3ce51e358dbdc485f812e1cb773966fb97e13e0c6,false
Au100,acetylene,r2scan,C2H2_Au100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Au100/singlepoint/r2scan,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Au100/r2scan,,-1836.54395059,-1812.10460465,,1000,,converged,fb1df06c9c6d17c8b3dd1df3ce51e358dbdc485f812e1cb773966fb97e13e0c6,false
Au100,acetylene,beef_vdw,C2H2_Au100,,false,reference_unavailable,No converged relaxed references with matching functional/composition,,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Au100/singlepoint/beef_vdw,0,/pscratch/sd/j/jcho5/VASP/vasp_slab/Au100/beef_vdw,,-18.04909139,2.61952143,,1000,,converged,fb1df06c9c6d17c8b3dd1df3ce51e358dbdc485f812e1cb773966fb97e13e0c6,false
