surface,molecule,functional,mode,previous_eV,current_eV,change,current_status
Ag100,CH3,pbe,relaxed,-1.857,,withheld_unverified_or_incompatible,refs unverified
Ag100,CH3,pbe,SPE,-1.839,,withheld_unverified_or_incompatible,potential mismatch
Ag100,CH3,pbe_d3,relaxed,-2.087,,withheld_unverified_or_incompatible,refs unverified
Ag100,CH3,pbe_d3,SPE,-1.987,,withheld_unverified_or_incompatible,potential mismatch
Ag100,CH3,r2scan,relaxed,-2.239,,withheld_unverified_or_incompatible,refs unverified
Ag100,CH3,r2scan,SPE,-2.145,,withheld_unverified_or_incompatible,potential mismatch
Ag100,CH3,beef_vdw,relaxed,-26.051,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,CH3,beef_vdw,SPE,-25.989,,withheld_unverified_or_incompatible,potential mismatch
Ag100,CO,pbe,relaxed,-0.976,,withheld_unverified_or_incompatible,refs unverified
Ag100,CO,pbe,SPE,-0.961,,withheld_unverified_or_incompatible,potential mismatch
Ag100,CO,pbe_d3,relaxed,-1.184,,withheld_unverified_or_incompatible,refs unverified
Ag100,CO,pbe_d3,SPE,-1.09,,withheld_unverified_or_incompatible,potential mismatch
Ag100,CO,r2scan,relaxed,-1.473,,withheld_unverified_or_incompatible,refs unverified
Ag100,CO,r2scan,SPE,-1.4,,withheld_unverified_or_incompatible,potential mismatch
Ag100,CO2,pbe,relaxed,-1.18,-0.026,updated,available
Ag100,CO2,r2scan,relaxed,-2.17,,withheld_unverified_or_incompatible,refs unverified
Ag100,CO2,r2scan,SPE,0.13,0.123,updated,available
Ag100,CO2,beef_vdw,relaxed,-44.332,-0.244,updated,available
Ag100,CO2,beef_vdw,SPE,-0.152,-0.154,updated,available
Ag100,DME,r2scan,relaxed,-1.33,,withheld_unverified_or_incompatible,refs unverified
Ag100,DME,r2scan,SPE,-1.229,,withheld_unverified_or_incompatible,potential mismatch
Ag100,DME,beef_vdw,relaxed,-25.261,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,DME,beef_vdw,SPE,-25.19,,withheld_unverified_or_incompatible,potential mismatch
Ag100,H2,pbe,relaxed,-0.62,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2,pbe,SPE,-0.592,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2,pbe_d3,relaxed,-0.7,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2,pbe_d3,SPE,-0.585,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2,r2scan,relaxed,-1.1,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2,r2scan,SPE,-0.993,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2O,pbe,relaxed,-0.814,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2O,pbe,SPE,-0.79,,withheld_unverified_or_incompatible,potential mismatch
Ag100,H2O,pbe_d3,relaxed,-1.0,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2O,pbe_d3,SPE,-0.875,,withheld_unverified_or_incompatible,potential mismatch
Ag100,H2O,r2scan,relaxed,-1.377,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2O,r2scan,SPE,-1.249,,withheld_unverified_or_incompatible,potential mismatch
Ag100,H2S,pbe,relaxed,-0.843,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2S,pbe,SPE,-0.786,,withheld_unverified_or_incompatible,potential mismatch
Ag100,H2S,pbe_d3,relaxed,-1.173,,withheld_unverified_or_incompatible,refs unverified
Ag100,H2S,pbe_d3,SPE,-1.002,,withheld_unverified_or_incompatible,potential mismatch
Ag100,H2S,r2scan,SPE,-1.251,,withheld_unverified_or_incompatible,potential mismatch
Ag100,H2S,beef_vdw,relaxed,-25.184,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,N2,pbe,relaxed,-0.64,,withheld_unverified_or_incompatible,refs unverified
Ag100,N2,pbe,SPE,-0.63,,withheld_unverified_or_incompatible,potential mismatch
Ag100,N2,pbe_d3,relaxed,-0.71,,withheld_unverified_or_incompatible,refs unverified
Ag100,N2,pbe_d3,SPE,-0.624,,withheld_unverified_or_incompatible,potential mismatch
Ag100,N2,r2scan,relaxed,-1.113,,withheld_unverified_or_incompatible,refs unverified
Ag100,N2,r2scan,SPE,-1.02,,withheld_unverified_or_incompatible,potential mismatch
Ag100,NH3,pbe,relaxed,-1.05,,withheld_unverified_or_incompatible,refs unverified
Ag100,NH3,pbe,SPE,-1.036,,withheld_unverified_or_incompatible,potential mismatch
Ag100,NH3,pbe_d3,relaxed,-1.275,,withheld_unverified_or_incompatible,refs unverified
Ag100,NH3,pbe_d3,SPE,-1.158,,withheld_unverified_or_incompatible,potential mismatch
Ag100,NH3,r2scan,relaxed,-1.61,,withheld_unverified_or_incompatible,refs unverified
Ag100,NH3,r2scan,SPE,-1.504,,withheld_unverified_or_incompatible,potential mismatch
Ag100,NH3,beef_vdw,relaxed,-25.354,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,NO,pbe,relaxed,-1.59,,withheld_unverified_or_incompatible,refs unverified
Ag100,NO,pbe,SPE,-1.522,,withheld_unverified_or_incompatible,potential mismatch
Ag100,NO,pbe_d3,relaxed,-1.839,,withheld_unverified_or_incompatible,refs unverified
Ag100,NO,pbe_d3,SPE,-1.673,,withheld_unverified_or_incompatible,potential mismatch
Ag100,NO,r2scan,relaxed,-2.54,,withheld_unverified_or_incompatible,refs unverified
Ag100,NO,beef_vdw,relaxed,-32.437,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,O2,pbe,relaxed,-1.68,,withheld_unverified_or_incompatible,refs unverified
Ag100,SO2,pbe,relaxed,-1.324,,withheld_unverified_or_incompatible,refs unverified
Ag100,SO2,pbe,SPE,-1.281,,withheld_unverified_or_incompatible,potential mismatch
Ag100,SO2,pbe_d3,relaxed,-1.834,,withheld_unverified_or_incompatible,refs unverified
Ag100,SO2,pbe_d3,SPE,-1.656,,withheld_unverified_or_incompatible,potential mismatch
Ag100,SO2,r2scan,relaxed,-2.201,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,SO2,r2scan,SPE,-2.007,,withheld_unverified_or_incompatible,potential mismatch
Ag100,SO2,beef_vdw,relaxed,-25.672,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,acetaldehyde,pbe,relaxed,-0.719,,withheld_unverified_or_incompatible,refs unverified
Ag100,acetaldehyde,pbe,SPE,-0.698,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetaldehyde,pbe_d3,relaxed,-1.031,,withheld_unverified_or_incompatible,refs unverified
Ag100,acetaldehyde,pbe_d3,SPE,-0.894,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetaldehyde,r2scan,relaxed,-1.32,,withheld_unverified_or_incompatible,refs unverified
Ag100,acetaldehyde,r2scan,SPE,-1.204,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetaldehyde,beef_vdw,relaxed,-25.176,,withheld_unverified_or_incompatible,potential_mismatch
Ag100,acetaldehyde,beef_vdw,SPE,-25.093,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetic_acid,r2scan,relaxed,-1.464,,withheld_unverified_or_incompatible,refs unverified
Ag100,acetic_acid,r2scan,SPE,-1.358,,withheld_unverified_or_incompatible,potential mismatch
Ag100,acetic_acid,beef_vdw,relaxed,-25.282,,withheld_unverified_or_incompatible,potential_mismatch
