surface,molecule,functional,mode,status,E_ads,E_complex,E_slab,E_molecule,complex_cluster,slab_cluster,molecule_cluster,complex_directory,slab_directory,molecule_directory,complex_snapshot_id,slab_snapshot_id,molecule_snapshot_id,provenance
Ag100,CO2,beef_vdw,SPE,ok,-0.15433353,42.21929028,60.29424863,-17.92062482,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/beef_vdw,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/beef_vdw,2bce37d203b5086c2cfd82e410d21d1a78f0569c3ebc5a3d33a9dacb13e54bd7,2f2012aa4ab2687c6efe072051b54b803a971d2a98f0b5349489900892d7b9cf,f55cd94ae310bcb3102648fec1901ebd52aabdb902a10c25eb00c390b23c1ca3,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,beef_vdw,relaxed,ok,-0.24397245,42.12965136,60.29424863,-17.92062482,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/beef_vdw,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/beef_vdw,b1d3100b75fbd6495a24016879de1c80468e6013c3c3ac5f97183ed8f1982d2b,2f2012aa4ab2687c6efe072051b54b803a971d2a98f0b5349489900892d7b9cf,f55cd94ae310bcb3102648fec1901ebd52aabdb902a10c25eb00c390b23c1ca3,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,pbe,SPE,ok,-0.01743287,-183.16623831,-160.18861022,-22.96019522,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/PBE,cac17bca749df7d1af8c715314ea98881e5f6da06df4542c3e2d11d313cbd7c4,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,5c3d4e7285479f2d4ac862de58c80a00baa5aba72e6fa7f6e419b6d41f863eca,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,pbe,relaxed,ok,-0.02591616,-183.1747216,-160.18861022,-22.96019522,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/PBE,2e1a11b466cd8264f9224eae86da6c00d521084c6155d41e7c70d7e0958b70cf,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,5c3d4e7285479f2d4ac862de58c80a00baa5aba72e6fa7f6e419b6d41f863eca,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,CO2,r2scan,SPE,ok,0.12299383,-1375.59643375,-1350.1504287,-25.56899888,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Ag100/singlepoint/r2scan,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_40d6d8753e/r2scan,/pscratch/sd/j/jcho5/VASP/vasp_mol/CO2/r2scan,fc2c6d2deb9130905d06d08d641cdd60eac8eefee86aa1d3ef9909d0dd175720,e7e82d6b112520b11774c91fa2ae78cc7b590684230c0df0a1f8e06d4c7c930e,4dab28f2a0fbe607817f4c5514d6f14b89ae1a164de9066f1d38852b7c93525c,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,ethane,beef_vdw,SPE,ok,-0.18877310,21.87624489,60.29424863,-38.22923064,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/beef_vdw,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/beef_vdw,833b7fb4d62fd12f26df504718f423236c3e20de246c6640d7c6714b662c135f,2f2012aa4ab2687c6efe072051b54b803a971d2a98f0b5349489900892d7b9cf,75736fb87a7367bfab9b2ade386c63802812384fc6661f9ddd61d2e04d39ce91,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,ethane,beef_vdw,relaxed,ok,-0.28261086,21.78240713,60.29424863,-38.22923064,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/beef_vdw,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_bdf57ab72d/beef_vdw,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/beef_vdw,32bc9232c21c0489a4defa8a5c3057ab7414a447ea30a34083371b6942a781ae,2f2012aa4ab2687c6efe072051b54b803a971d2a98f0b5349489900892d7b9cf,75736fb87a7367bfab9b2ade386c63802812384fc6661f9ddd61d2e04d39ce91,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,ethane,pbe,SPE,ok,-0.02127531,-200.70950232,-160.18861022,-40.49961679,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE,2ab3f1e5799ca124738dc8eaed4a081244189c8bb2faceed595094b0bd91941d,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,9005b8a31fb6402e31baf8d69fb8269febb7a534243f4cce1cce7364f312f903,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,ethane,pbe,relaxed,ok,-0.02338900,-200.71161601,-160.18861022,-40.49961679,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/PBE,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_03d62237d7/pbe,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE,b26d509a1b396333b34a4652e5b62c0a681bb4511b25bda7f5dc871f4caf2188,dcbf3b815dc792fa234967a25db8da8080b05887ef5b01a7f27f3ac11cf8d341,9005b8a31fb6402e31baf8d69fb8269febb7a534243f4cce1cce7364f312f903,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
Ag100,ethane,pbe_d3,SPE,ok,-0.00686176,-222.64857263,-182.11563628,-40.52607459,perlmutter,perlmutter,perlmutter,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100/singlepoint/PBE_D3,/pscratch/sd/j/jcho5/VASP/completion_runs/matched_potential_slabs_20260915/slab/Ag100_ea6fd71f0d/pbe_d3,/pscratch/sd/j/jcho5/VASP/vasp_mol/C2H6/PBE_D3,c94e7400b06356a5e5cc071e39fc746010b54903a49f4db02c258434e8f8f54c,c0cd08388d6538c6cc18e2c26a9bda3ed47eb43d25e5ecae92c5131f1f2e7ad9,4dbe588a035718c664c9d9594b2ef9e306a16e6d46b046b9f145a68e6069c612,"Converged components; matching PAW TITEL identities, functional, composition, full slab cell and stored core settings. Archived Kestrel provenance retained. No energy scaling or offsets."
