functional,calculator,surface,molecule,E_ads_DFT,E_ads_ML,diff_eV
pbe,sevennet_omni,Ag100,CO2,-0.016716,-0.362564,-0.345848
pbe,sevennet_omni,Ag100,ethane,-0.020495,-0.294643,-0.274149
pbe,sevennet_omni,Ag100,ethanol,-0.149495,-0.436077,-0.286582
pbe,sevennet_omni,Ag100,ethene,-0.020847,-0.206692,-0.185845
pbe,sevennet_omni,Ag100,glycerol,-0.117322,-0.682686,-0.565363
pbe,sevennet_omni,Ag110,ethanol,-0.224505,-0.545704,-0.321199
pbe,sevennet_omni,Ag110,ethene,-0.141595,-0.407467,-0.265872
pbe,sevennet_omni,Ag110,isopropanol,-0.237413,-0.585964,-0.348551
pbe,sevennet_omni,Ag110,propanol,-0.243158,-0.544685,-0.301528
pbe,sevennet_omni,Ag111,CO2,-0.001847,-0.356842,-0.354995
pbe,sevennet_omni,Ag111,ethane,-0.001734,-0.274319,-0.272584
pbe,sevennet_omni,Ag111,ethanol,-0.085274,-0.375816,-0.290542
pbe,sevennet_omni,Ag111,ethene,-0.033948,-0.167400,-0.133452
pbe,sevennet_omni,Ag111,propanol,-0.114057,-0.389130,-0.275073
pbe,sevennet_omni,Au100,1-butanol,0.192811,-0.345390,-0.538201
pbe,sevennet_omni,Au100,1-butene,0.402908,-0.301605,-0.704513
pbe,sevennet_omni,Au100,1-pentene,0.476955,-0.336594,-0.813549
pbe,sevennet_omni,Au100,2-butanol,0.297743,-0.365974,-0.663717
pbe,sevennet_omni,Au100,2-butene,0.560111,-0.129013,-0.689124
pbe,sevennet_omni,Au100,2-ethylphenol,0.363662,-0.282845,-0.646506
pbe,sevennet_omni,Au100,2-heptanone,0.660504,-0.414696,-1.075200
pbe,sevennet_omni,Au100,2-hexanone,0.584006,-0.353279,-0.937285
pbe,sevennet_omni,Au100,2-pentanone,0.445836,-0.312531,-0.758366
pbe,sevennet_omni,Au100,3-MTHF,0.408904,-0.134224,-0.543128
pbe,sevennet_omni,Au100,4-methylguaiacol,0.545316,-0.175934,-0.721250
pbe,sevennet_omni,Au100,5-heptanone,0.710993,-0.350327,-1.061320
pbe,sevennet_omni,Au100,5-methylfurfural,0.403625,-0.333313,-0.736938
pbe,sevennet_omni,Au100,CH4,0.024007,-0.391161,-0.415168
pbe,sevennet_omni,Au100,CO,-0.595739,-0.887810,-0.292071
pbe,sevennet_omni,Au100,CO2,0.000223,-0.390873,-0.391096
pbe,sevennet_omni,Au100,D-fructofuranose,0.564347,-0.440338,-1.004685
pbe,sevennet_omni,Au100,D-xylopyranose,0.387251,-0.544807,-0.932059
