functional,calculator,surface,molecule,E_ads_DFT,E_ads_ML,diff_eV
pbe,sevennet_omni,Cu100,CO2,-0.032168,-0.361315,-0.329147
pbe,sevennet_omni,Cu100,ethane,-0.013984,-0.315483,-0.301499
pbe,sevennet_omni,Cu100,ethanol,-0.237268,-0.502869,-0.265601
pbe,sevennet_omni,Cu100,ethene,-0.172277,-0.230785,-0.058508
pbe,sevennet_omni,Cu110,ethanol,-0.379202,-0.661915,-0.282713
pbe,sevennet_omni,Cu111,ethane,-0.023988,-0.287235,-0.263247
pbe,sevennet_omni,Cu111,ethene,-0.048198,-0.185070,-0.136872
pbe,sevennet_omni,Pd100,CO2,-0.022178,-0.471163,-0.448985
pbe,sevennet_omni,Pd100,ethane,-0.045954,-0.513893,-0.467939
pbe,sevennet_omni,Pd100,ethanol,-0.275594,-0.706497,-0.430903
pbe,sevennet_omni,Pd110,ethane,-0.043165,-0.561226,-0.518061
pbe,sevennet_omni,Pd110,ethanol,-0.428388,-0.789841,-0.361452
pbe,sevennet_omni,Pd111,CO2,-0.034747,-0.447756,-0.413009
pbe,sevennet_omni,Pd111,ethane,-0.045900,-0.455055,-0.409155
pbe,sevennet_omni,Pd111,ethanol,-0.290522,-0.673756,-0.383233
pbe,sevennet_omni,Pt100,CO2,-0.011274,-0.509066,-0.497792
pbe,sevennet_omni,Pt100,ethane,-0.009918,-0.483349,-0.473431
pbe,sevennet_omni,Pt100,ethanol,-0.364051,-0.639515,-0.275464
pbe,sevennet_omni,Pt110,ethane,-0.047919,-0.529640,-0.481721
pbe,sevennet_omni,Pt110,ethanol,-0.458734,-0.837215,-0.378481
pbe,sevennet_omni,Pt111,CO2,-0.032573,-0.486696,-0.454123
pbe_d3,sevennet_omni,Cu100,ethane,-0.366575,-0.315483,0.051091
pbe_d3,sevennet_omni,Cu100,ethanol,-0.727680,-0.502869,0.224812
pbe_d3,sevennet_omni,Cu100,ethene,-0.735692,-0.230785,0.504907
pbe_d3,sevennet_omni,Cu110,ethanol,-0.871819,-0.661915,0.209905
pbe_d3,sevennet_omni,Cu111,ethane,-0.424622,-0.287235,0.137387
pbe_d3,sevennet_omni,Cu111,ethene,-0.788416,-0.185070,0.603346
pbe_d3,sevennet_omni,Pd100,ethane,-0.409488,-0.513893,-0.104405
pbe_d3,sevennet_omni,Pd100,ethanol,-0.729204,-0.706497,0.022707
pbe_d3,sevennet_omni,Pd110,ethane,-0.401762,-0.561226,-0.159463
pbe_d3,sevennet_omni,Pd110,ethanol,-0.918271,-0.789841,0.128431
pbe_d3,sevennet_omni,Pd111,ethane,-0.412894,-0.455055,-0.042162
pbe_d3,sevennet_omni,Pd111,ethanol,-0.763223,-0.673756,0.089467
pbe_d3,sevennet_omni,Pt100,ethane,-0.449486,-0.483349,-0.033863
pbe_d3,sevennet_omni,Pt100,ethanol,-0.896926,-0.639515,0.257411
pbe_d3,sevennet_omni,Pt110,ethane,-0.475376,-0.529640,-0.054265
pbe_d3,sevennet_omni,Pt110,ethanol,-1.056144,-0.837215,0.218928
beef_vdw,sevennet_omni,Cu110,ethanol,-0.655849,-0.661915,-0.006066
beef_vdw,sevennet_omni,Cu111,ethane,-0.297530,-0.287235,0.010295
beef_vdw,sevennet_omni,Cu111,ethene,-0.317809,-0.185070,0.132739
beef_vdw,sevennet_omni,Pd100,ethane,-0.324141,-0.513893,-0.189752
beef_vdw,sevennet_omni,Pd100,ethanol,-0.575370,-0.706497,-0.131127
beef_vdw,sevennet_omni,Pd110,ethane,-0.298282,-0.561226,-0.262944
beef_vdw,sevennet_omni,Pd110,ethanol,-0.563350,-0.789841,-0.226490
beef_vdw,sevennet_omni,Pd111,ethane,-0.343167,-0.455055,-0.111888
beef_vdw,sevennet_omni,Pt100,ethane,-0.325577,-0.483349,-0.157772
beef_vdw,sevennet_omni,Pt110,ethane,-0.334824,-0.529640,-0.194817
r2scan,sevennet_omni,Cu100,ethane,0.003186,-0.315483,-0.318669
r2scan,sevennet_omni,Cu100,ethanol,-0.359016,-0.502869,-0.143853
r2scan,sevennet_omni,Cu100,ethene,-0.429490,-0.230785,0.198705
r2scan,sevennet_omni,Cu110,ethanol,-0.560272,-0.661915,-0.101643
r2scan,sevennet_omni,Cu111,ethane,-0.077806,-0.287235,-0.209430
r2scan,sevennet_omni,Cu111,ethene,-0.105174,-0.185070,-0.079896
r2scan,sevennet_omni,Pd100,ethane,-0.200292,-0.513893,-0.313601
r2scan,sevennet_omni,Pd110,ethane,-0.169119,-0.561226,-0.392107
r2scan,sevennet_omni,Pd111,ethane,-0.121056,-0.455055,-0.333999
r2scan,sevennet_omni,Pt100,ethane,-0.129908,-0.483349,-0.353441
r2scan,sevennet_omni,Pt110,ethane,-0.131461,-0.529640,-0.398179
