functional,calculator,surface,molecule,E_ads_DFT,E_ads_ML,diff_eV
pbe,sevennet_omni,Cu100,CO2,-0.032016,-0.361315,-0.329299
pbe,sevennet_omni,Cu100,ethane,-0.011808,-0.315483,-0.303675
pbe,sevennet_omni,Cu100,ethanol,-0.203041,-0.502869,-0.299828
pbe,sevennet_omni,Cu100,ethene,-0.059559,-0.230785,-0.171226
pbe,sevennet_omni,Cu100,glycerol,-0.443707,-0.767525,-0.323818
pbe,sevennet_omni,Cu100,isopropanol,-0.226141,-0.557751,-0.331609
pbe,sevennet_omni,Cu100,propane,-0.024311,-0.322636,-0.298324
pbe,sevennet_omni,Cu100,propanol,-0.242846,-0.563103,-0.320257
pbe,sevennet_omni,Cu100,propene,-0.065228,-0.225117,-0.159889
pbe,sevennet_omni,Cu110,CO2,0.461404,-0.367388,-0.828792
pbe,sevennet_omni,Cu111,ethane,1.593136,-0.287235,-1.880371
pbe,sevennet_omni,Cu111,ethene,1.568536,-0.185070,-1.753606
pbe,sevennet_omni,Cu111,glycerol,1.352483,-0.587242,-1.939725
pbe,sevennet_omni,Cu111,isopropanol,1.453537,-0.426662,-1.880200
pbe,sevennet_omni,Cu111,propane,1.580109,-0.306339,-1.886448
pbe,sevennet_omni,Cu111,propanol,1.428251,-0.438148,-1.866399
pbe,sevennet_omni,Cu111,propene,1.551637,-0.206791,-1.758428
pbe,sevennet_omni,Pd100,CO2,4.256889,-0.471163,-4.728052
pbe,sevennet_omni,Pd100,ethane,4.224361,-0.513893,-4.738254
pbe,sevennet_omni,Pd100,ethanol,4.002039,-0.706497,-4.708536
pbe,sevennet_omni,Pd100,ethene,3.486540,-1.439617,-4.926157
pbe,sevennet_omni,Pd100,glycerol,3.840850,-0.932213,-4.773063
pbe,sevennet_omni,Pd100,isopropanol,3.969160,-0.819695,-4.788855
pbe,sevennet_omni,Pd100,propane,4.221784,-0.618076,-4.839860
pbe,sevennet_omni,Pd100,propanol,3.962299,-0.796822,-4.759120
pbe,sevennet_omni,Pd100,propene,3.524073,-1.461826,-4.985900
pbe,sevennet_omni,Pd111,CO2,-0.385372,-0.447756,-0.062383
pbe,sevennet_omni,Pd111,ethane,-0.410244,-0.455055,-0.044812
pbe,sevennet_omni,Pd111,ethanol,-0.641055,-0.673756,-0.032700
pbe,sevennet_omni,Pd111,ethene,-1.091544,-1.265545,-0.174001
pbe,sevennet_omni,Pd111,glycerol,-0.845988,-1.008171,-0.162184
pbe,sevennet_omni,Pd111,isopropanol,-0.621064,-0.765133,-0.144069
pbe,sevennet_omni,Pd111,propane,-0.411267,-0.472294,-0.061027
pbe,sevennet_omni,Pd111,propanol,-0.643038,-0.712898,-0.069860
pbe,sevennet_omni,Pd111,propene,-0.987837,-1.175846,-0.188009
pbe,sevennet_omni,Pt111,CO2,-0.867382,-0.486696,0.380686
pbe,sevennet_omni,Pt111,ethane,-0.863928,-0.433994,0.429934
pbe,sevennet_omni,Pt111,ethanol,-1.099322,-0.598709,0.500612
pbe,sevennet_omni,Pt111,ethene,-1.662164,-1.323864,0.338300
pbe,sevennet_omni,Pt111,glycerol,-1.302045,-0.816826,0.485219
pbe,sevennet_omni,Pt111,isopropanol,-1.034161,-0.709160,0.325001
pbe,sevennet_omni,Pt111,propane,-0.878727,-0.462776,0.415951
pbe,sevennet_omni,Pt111,propanol,-1.116219,-0.727577,0.388642
pbe,sevennet_omni,Pt111,propene,-1.867768,-1.681343,0.186425
pbe_d3,sevennet_omni,Cu100,ethane,-0.334115,-0.315483,0.018632
pbe_d3,sevennet_omni,Cu100,ethanol,-0.701225,-0.502869,0.198357
pbe_d3,sevennet_omni,Cu100,ethene,-0.751247,-0.230785,0.520461
pbe_d3,sevennet_omni,Cu100,glycerol,-1.245093,-0.767525,0.477568
pbe_d3,sevennet_omni,Cu100,isopropanol,-0.835289,-0.557751,0.277538
pbe_d3,sevennet_omni,Cu100,propane,-0.425718,-0.322636,0.103082
pbe_d3,sevennet_omni,Cu100,propanol,-0.881459,-0.563103,0.318356
pbe_d3,sevennet_omni,Cu100,propene,-0.805933,-0.225117,0.580816
pbe_d3,sevennet_omni,Cu111,ethane,1.140069,-0.287235,-1.427304
pbe_d3,sevennet_omni,Cu111,ethene,0.788110,-0.185070,-0.973180
pbe_d3,sevennet_omni,Cu111,glycerol,0.591712,-0.587242,-1.178954
pbe_d3,sevennet_omni,Cu111,isopropanol,0.736312,-0.426662,-1.162975
pbe_d3,sevennet_omni,Cu111,propane,1.112439,-0.306339,-1.418779
pbe_d3,sevennet_omni,Cu111,propanol,0.692047,-0.438148,-1.130196
pbe_d3,sevennet_omni,Cu111,propene,0.718319,-0.206791,-0.925110
pbe_d3,sevennet_omni,Pd111,ethane,-0.791918,-0.455055,0.336862
pbe_d3,sevennet_omni,Pd111,ethanol,-1.140515,-0.673756,0.466759
pbe_d3,sevennet_omni,Pd111,ethene,-1.515145,-1.265545,0.249600
pbe_d3,sevennet_omni,Pd111,glycerol,-1.627760,-1.008171,0.619589
pbe_d3,sevennet_omni,Pd111,isopropanol,-1.263547,-0.765133,0.498414
pbe_d3,sevennet_omni,Pd111,propane,-0.910956,-0.472294,0.438662
pbe_d3,sevennet_omni,Pd111,propanol,-1.278840,-0.712898,0.565942
pbe_d3,sevennet_omni,Pd111,propene,-1.568283,-1.175846,0.392437
pbe_d3,sevennet_omni,Pt111,ethane,-1.402783,-0.433994,0.968789
pbe_d3,sevennet_omni,Pt111,ethanol,-1.775042,-0.598709,1.176333
pbe_d3,sevennet_omni,Pt111,ethene,-2.307789,-1.323864,0.983925
pbe_d3,sevennet_omni,Pt111,glycerol,-2.235385,-0.816826,1.418559
pbe_d3,sevennet_omni,Pt111,isopropanol,-1.851240,-0.709160,1.142080
pbe_d3,sevennet_omni,Pt111,propane,-1.561030,-0.462776,1.098254
pbe_d3,sevennet_omni,Pt111,propanol,-1.956218,-0.727577,1.228641
pbe_d3,sevennet_omni,Pt111,propene,-2.691479,-1.681343,1.010136
r2scan,sevennet_omni,Cu100,CO2,-0.061284,-0.361315,-0.300030
r2scan,sevennet_omni,Cu100,ethane,-0.064895,-0.315483,-0.250588
r2scan,sevennet_omni,Cu100,ethanol,-0.427160,-0.502869,-0.075708
r2scan,sevennet_omni,Cu100,ethene,-0.186613,-0.230785,-0.044172
r2scan,sevennet_omni,Cu100,glycerol,-0.831252,-0.767525,0.063728
r2scan,sevennet_omni,Cu100,isopropanol,-0.423053,-0.557751,-0.134697
r2scan,sevennet_omni,Cu100,propane,-0.089294,-0.322636,-0.233342
r2scan,sevennet_omni,Cu100,propanol,-0.467165,-0.563103,-0.095937
r2scan,sevennet_omni,Cu100,propene,-0.147839,-0.225117,-0.077278
r2scan,sevennet_omni,Cu110,CO2,0.331137,-0.367388,-0.698525
r2scan,sevennet_omni,Cu111,ethane,1.360437,-0.287235,-1.647673
r2scan,sevennet_omni,Cu111,ethene,0.968861,-0.185070,-1.153931
r2scan,sevennet_omni,Cu111,glycerol,0.908851,-0.587242,-1.496093
r2scan,sevennet_omni,Cu111,isopropanol,1.008991,-0.426662,-1.435654
r2scan,sevennet_omni,Cu111,propane,1.318455,-0.306339,-1.624794
r2scan,sevennet_omni,Cu111,propanol,1.002722,-0.438148,-1.440871
r2scan,sevennet_omni,Cu111,propene,1.034309,-0.206791,-1.241100
r2scan,sevennet_omni,Pd111,CO2,-0.661183,-0.447756,0.213427
r2scan,sevennet_omni,Pd111,ethane,-0.731668,-0.455055,0.276613
r2scan,sevennet_omni,Pd111,ethanol,-1.090817,-0.673756,0.417062
r2scan,sevennet_omni,Pd111,ethene,-1.551736,-1.265545,0.286191
r2scan,sevennet_omni,Pd111,glycerol,-1.445158,-1.008171,0.436987
r2scan,sevennet_omni,Pd111,isopropanol,-1.124235,-0.765133,0.359102
r2scan,sevennet_omni,Pd111,propane,-0.784628,-0.472294,0.312335
r2scan,sevennet_omni,Pd111,propanol,-1.135958,-0.712898,0.423060
r2scan,sevennet_omni,Pd111,propene,-1.516966,-1.175846,0.341120
r2scan,sevennet_omni,Pt111,CO2,-1.403384,-0.486696,0.916688
r2scan,sevennet_omni,Pt111,ethane,-1.417416,-0.433994,0.983421
r2scan,sevennet_omni,Pt111,ethanol,-1.809769,-0.598709,1.211060
r2scan,sevennet_omni,Pt111,ethene,-2.362376,-1.323864,1.038512
r2scan,sevennet_omni,Pt111,glycerol,-2.073573,-0.816826,1.256747
r2scan,sevennet_omni,Pt111,isopropanol,-1.689829,-0.709160,0.980669
r2scan,sevennet_omni,Pt111,propane,-1.456063,-0.462776,0.993287
r2scan,sevennet_omni,Pt111,propanol,-1.871128,-0.727577,1.143551
r2scan,sevennet_omni,Pt111,propene,-2.648100,-1.681343,0.966757
