calculation,surface,functional,system,status,raw_binding_energy_eV,convergence,complex_source,slab_source,molecule_source,note
relaxed,Ag100,pbe,CH3OCH3_Ag100,unconverged,-5.343731749999989,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ag100/PBE/OUTCAR,vasp_slab/Ag100/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Ag110,pbe,CH3OCH3_Ag110,unconverged,-5.160090859999997,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ag110/PBE/OUTCAR,vasp_slab/Ag110/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Ag111,pbe,CH3OCH3_Ag111,slab_mismatch,65.17064489,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ag111/PBE/OUTCAR,vasp_slab/Ag111/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,"slab size mismatch: complex has 36 Ag, reference has 64"
relaxed,Au100,pbe,CH3OCH3_Au100,slab_mismatch,-88.42056262000003,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Au100/PBE/OUTCAR,vasp_slab/Au100/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,"slab size mismatch: complex has 64 Au, reference has 36"
relaxed,Au110,pbe,CH3OCH3_Au110,slab_mismatch,-119.23177458999999,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Au110/PBE/OUTCAR,vasp_slab/Au110/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,"slab size mismatch: complex has 64 Au, reference has 24"
relaxed,Au111,pbe,CH3OCH3_Au111,slab_mismatch,81.30559733000001,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Au111/PBE/OUTCAR,vasp_slab/Au111/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,"slab size mismatch: complex has 36 Au, reference has 64"
relaxed,Cu100,pbe,CH3OCH3_Cu100,unconverged,-4.755773380000022,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Cu100/PBE/OUTCAR,vasp_slab/Cu100/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Cu110,pbe,CH3OCH3_Cu110,unconverged,-4.337272999999996,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Cu110/PBE/OUTCAR,vasp_slab/Cu110/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Cu111,pbe,CH3OCH3_Cu111,unconverged,-3.0592646700000046,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Cu111/PBE/OUTCAR,vasp_slab/Cu111/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Ir100,pbe,CH3OCH3_Ir100,unconverged,-4.964792540000047,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ir100/PBE/OUTCAR,vasp_slab/Ir100/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Ir110,pbe,CH3OCH3_Ir110,unconverged,-5.160734099999985,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ir110/PBE/OUTCAR,vasp_slab/Ir110/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Ir111,pbe,CH3OCH3_Ir111,unconverged,-4.813887790000052,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ir111/PBE/OUTCAR,vasp_slab/Ir111/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Pd100,pbe,CH3OCH3_Pd100,unconverged,-4.980858130000001,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Pd100/PBE/OUTCAR,vasp_slab/Pd100/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Pd110,pbe,CH3OCH3_Pd110,unconverged,-4.992772680000002,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Pd110/PBE/OUTCAR,vasp_slab/Pd110/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Pd111,pbe,CH3OCH3_Pd111,slab_mismatch,133.0973979,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Pd111/PBE/OUTCAR,vasp_slab/Pd111/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,"slab size mismatch: complex has 36 Pd, reference has 64"
relaxed,Pt100,pbe,CH3OCH3_Pt100,unconverged,-5.287892290000002,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Pt100/PBE/OUTCAR,vasp_slab/Pt100/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Pt110,pbe,CH3OCH3_Pt110,unconverged,-5.286651400000011,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Pt110/PBE/OUTCAR,vasp_slab/Pt110/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Rh100,pbe,CH3OCH3_Rh100,unconverged,-5.284729609999971,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Rh100/PBE/OUTCAR,vasp_slab/Rh100/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Rh110,pbe,CH3OCH3_Rh110,unconverged,-5.360872910000012,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Rh110/PBE/OUTCAR,vasp_slab/Rh110/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Rh111,pbe,CH3OCH3_Rh111,unconverged,-5.542632300000008,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Rh111/PBE/OUTCAR,vasp_slab/Rh111/PBE/OUTCAR,vasp_mol/CH3OCH3/PBE/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Pt111,pbe,DME_Pt111_top,error,,complex: missing; slab: converged; molecule: unfinished,dft_jobs/DME_Pt111_top/PBE/OUTCAR,vasp_slab/Pt111/PBE/OUTCAR,vasp_mol/DME/PBE/OUTCAR,Missing or non-finite component energy
relaxed,Ag100,pbe_d3,CH3OCH3_Ag100,unconverged,-38.401773099999986,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ag100/PBE_D3/OUTCAR,vasp_slab/Ag100/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Ag110,pbe_d3,CH3OCH3_Ag110,unconverged,-38.16823305999999,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ag110/PBE_D3/OUTCAR,vasp_slab/Ag110/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Ag111,pbe_d3,CH3OCH3_Ag111,slab_mismatch,42.173054140000005,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Ag111/PBE_D3/OUTCAR,vasp_slab/Ag111/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,"slab size mismatch: complex has 36 Ag, reference has 64"
relaxed,Au100,pbe_d3,CH3OCH3_Au100,slab_mismatch,-134.80824192999995,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Au100/PBE_D3/OUTCAR,vasp_slab/Au100/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,"slab size mismatch: complex has 64 Au, reference has 36"
relaxed,Au110,pbe_d3,CH3OCH3_Au110,slab_mismatch,-167.95691693000003,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Au110/PBE_D3/OUTCAR,vasp_slab/Au110/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,"slab size mismatch: complex has 64 Au, reference has 24"
relaxed,Au111,pbe_d3,CH3OCH3_Au111,slab_mismatch,61.87980891000001,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Au111/PBE_D3/OUTCAR,vasp_slab/Au111/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,"slab size mismatch: complex has 36 Au, reference has 64"
relaxed,Cu100,pbe_d3,CH3OCH3_Cu100,unconverged,-37.93455498,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Cu100/PBE_D3/OUTCAR,vasp_slab/Cu100/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Cu110,pbe_d3,CH3OCH3_Cu110,unconverged,-37.53644195999999,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Cu110/PBE_D3/OUTCAR,vasp_slab/Cu110/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,molecule: ZBRENT: fatal error in bracketing
relaxed,Cu111,pbe_d3,CH3OCH3_Cu111,unconverged,-36.35409773000001,complex: converged; slab: converged; molecule: unfinished,dft_jobs/CH3OCH3_Cu111/PBE_D3/OUTCAR,vasp_slab/Cu111/PBE_D3/OUTCAR,vasp_mol/CH3OCH3/PBE_D3/OUTCAR,molecule: ZBRENT: fatal error in bracketing
