surface,molecule,functional,ML,SPE,relaxed,residual,relaxation_gap,total,provenance,complex_directory
Au111,CH3,beef_vdw,-1.79,-1.36465576,-1.409,-0.42534424000000004,0.044344240000000035,-0.381,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/beef_vdw
Au111,CH3,pbe,-1.79,-1.23323511,-1.279,-0.55676489,0.045764889999999836,-0.5110000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/PBE
Au111,CH3,pbe_d3,-1.79,-1.28941614,-1.48,-0.5005838600000001,0.19058386000000005,-0.31000000000000005,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/PBE_D3
Au111,CH3,r2scan,-1.79,-1.05214908,-1.196,-0.7378509200000001,0.14385092,-0.5940000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Au111/singlepoint/r2scan
Au111,CO,beef_vdw,-0.59,0.02214333,-0.042,-0.61214333,0.06414333,-0.5479999999999999,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Au111/singlepoint/beef_vdw
Au111,CO,pbe,-0.59,-0.07125691,-0.127,-0.51874309,0.055743089999999995,-0.46299999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Au111/singlepoint/PBE
Au111,CO,pbe_d3,-0.59,-0.07447973,-0.289,-0.51552027,0.21452026999999999,-0.301,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Au111/singlepoint/PBE_D3
Au111,DME,beef_vdw,-0.16,-0.37454793,-0.382,0.21454792999999997,0.007452070000000033,0.222,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Au111/singlepoint/beef_vdw
Au111,DME,pbe,-0.16,0.0699329,-0.046,-0.2299329,0.1159329,-0.114,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Au111/singlepoint/PBE
Au111,DME,pbe_d3,-0.16,0.05737353,-0.481,-0.21737353,0.53837353,0.32099999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Au111/singlepoint/PBE_D3
Au111,H2O,beef_vdw,-0.51,-0.17025016,-0.175,-0.33974983999999997,0.004749839999999977,-0.335,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Au111/singlepoint/beef_vdw
Au111,H2O,pbe,-0.51,0.07551822,-0.041,-0.58551822,0.11651822,-0.46900000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Au111/singlepoint/PBE
Au111,H2O,pbe_d3,-0.51,0.15524499,-0.301,-0.66524499,0.45624498999999996,-0.20900000000000002,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Au111/singlepoint/PBE_D3
Au111,H2S,beef_vdw,-0.41,-0.2693134,-0.338,-0.1406866,0.06868660000000004,-0.07199999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Au111/singlepoint/beef_vdw
Au111,H2S,pbe,-0.41,0.06683852,-0.144,-0.47683852,0.21083851999999997,-0.266,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Au111/singlepoint/PBE
Au111,H2S,pbe_d3,-0.41,-0.00380981,-0.54,-0.40619018999999995,0.53619019,0.13000000000000006,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Au111/singlepoint/PBE_D3
Au111,acetaldehyde,beef_vdw,-0.27,-0.35638923,-0.366,0.08638922999999998,0.00961076999999999,0.09599999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Au111/singlepoint/beef_vdw
Au111,acetaldehyde,pbe,-0.27,0.07079876,-0.051,-0.34079876000000003,0.12179876,-0.21900000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Au111/singlepoint/PBE
Au111,acetaldehyde,pbe_d3,-0.27,0.01451837,-0.396,-0.28451837,0.41051837,0.126,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Au111/singlepoint/PBE_D3
Au111,acetic_acid,beef_vdw,-0.36,-0.40741311,-0.418,0.047413110000000036,0.01058688999999996,0.057999999999999996,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3COOH_Au111/singlepoint/beef_vdw
Au111,ethane,beef_vdw,-0.24,-0.30950824,-0.316,0.06950824,0.006491760000000013,0.07600000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Au111/singlepoint/beef_vdw
Au111,ethane,pbe,-0.24,0.10800066,-0.014,-0.34800065999999996,0.12200066,-0.22599999999999998,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Au111/singlepoint/PBE
Au111,ethane,pbe_d3,-0.24,0.06668092,-0.287,-0.30668092,0.35368091999999995,0.046999999999999986,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Au111/singlepoint/PBE_D3
Au111,ethanol,beef_vdw,-0.28,-0.38425529,-0.394,0.10425529,0.00974470999999999,0.11399999999999999,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Au111/singlepoint/beef_vdw
Au111,ethanol,pbe,-0.28,0.05749909,-0.062,-0.33749909,0.11949909,-0.21800000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Au111/singlepoint/PBE
Au111,ethanol,pbe_d3,-0.28,0.01222108,-0.488,-0.29222108,0.50022108,0.20799999999999996,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CH2OH_Au111/singlepoint/PBE_D3
Au111,ethene,beef_vdw,-0.19,-0.32049891,-0.355,0.13049891000000002,0.034501089999999957,0.16499999999999998,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Au111/singlepoint/beef_vdw
Au111,ethene,pbe,-0.19,0.08936506,-0.034,-0.27936506,0.12336506,-0.156,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Au111/singlepoint/PBE
Au111,ethene,pbe_d3,-0.19,0.05062867,-0.447,-0.24062867,0.49762867,0.257,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Au111/singlepoint/PBE_D3
Au111,formaldehyde,pbe,-0.21,0.04776527,-0.068,-0.25776527,0.11576527,-0.142,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Au111/singlepoint/PBE
Au111,formaldehyde,pbe_d3,-0.21,0.09071232,-0.339,-0.30071232,0.42971232000000004,0.12900000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2CO_Au111/singlepoint/PBE_D3
Au111,methane,beef_vdw,-0.37,-0.20643214,-0.214,-0.16356786,0.00756786000000001,-0.156,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Au111/singlepoint/beef_vdw
Au111,methane,pbe,-0.37,0.12884026,-0.005,-0.49884026000000004,0.13384026000000002,-0.365,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Au111/singlepoint/PBE
Au111,methane,pbe_d3,-0.37,0.17647134,-0.197,-0.54647134,0.37347134000000004,-0.173,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH4_Au111/singlepoint/PBE_D3
Au111,methanol,beef_vdw,-0.26,-0.29711664,-0.306,0.03711663999999998,0.008883360000000007,0.045999999999999985,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Au111/singlepoint/beef_vdw
Au111,methanol,pbe,-0.26,0.0607421,-0.06,-0.32074210000000003,0.12074209999999999,-0.2,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Au111/singlepoint/PBE
Au111,methanol,pbe_d3,-0.26,0.07923127,-0.333,-0.33923127000000003,0.41223127000000004,0.07300000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OH_Au111/singlepoint/PBE_D3
Cu100,CH3,pbe,-1.95,-1.24883748,-1.255,-0.70116252,0.006162519999999949,-0.6950000000000001,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Cu100/singlepoint/PBE
Cu100,CH3,pbe_d3,-1.95,-1.51007698,-1.646,-0.43992301999999994,0.1359230199999999,-0.30400000000000005,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Cu100/singlepoint/PBE_D3
Cu100,CO,pbe,-1.19,-0.77452017,-0.781,-0.41547983,0.006479830000000075,-0.4089999999999999,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Cu100/singlepoint/PBE
Cu100,CO,pbe_d3,-1.19,-0.91223213,-1.027,-0.2777678699999999,0.11476786999999988,-0.16300000000000003,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO_Cu100/singlepoint/PBE_D3
Cu100,CO2,pbe,-0.36,-0.0188523,-0.032,-0.3411477,0.013147700000000002,-0.32799999999999996,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CO2_Cu100/singlepoint/PBE
Cu100,DME,pbe,-0.27,-0.13396879,-0.15,-0.13603121,0.01603120999999999,-0.12000000000000002,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/PBE
Cu100,DME,pbe_d3,-0.27,-0.43964251,-0.651,0.16964250999999997,0.21135749000000004,0.381,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3OCH3_Cu100/singlepoint/PBE_D3
Cu100,H2O,pbe,-0.57,-0.22711798,-0.246,-0.34288201999999995,0.01888202,-0.32399999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/PBE
Cu100,H2O,pbe_d3,-0.57,-0.39509325,-0.476,-0.17490674999999994,0.08090674999999997,-0.09399999999999997,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2O_Cu100/singlepoint/PBE_D3
Cu100,H2S,pbe,-0.47,-0.24310706,-0.271,-0.22689293999999996,0.027892940000000005,-0.19899999999999995,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/PBE
Cu100,H2S,pbe_d3,-0.47,-0.58129743,-0.719,0.11129743000000003,0.13770256999999997,0.249,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/H2S_Cu100/singlepoint/PBE_D3
Cu100,acetaldehyde,pbe,-0.6,-0.1730497,-0.209,-0.4269503,0.03595029999999999,-0.391,Cluster policy: Perlmutter first,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3CHO_Cu100/singlepoint/PBE
