surface,molecule,pbe,pbe_d3,r2scan,beef_vdw
Ag100,ethane,-0.020495,-0.021602,0.136341,-0.186172
Ag100,ethanol,-0.149495,-0.236753,-0.085159,-0.353607
Ag100,ethene,-0.020847,-0.103482,0.060396,-0.181867
Ag100,glycerol,-0.117322,-0.430144,-0.187839,-0.579611
Ag110,ethanol,-0.224505,-0.474308,-0.239902,-0.372079
Ag110,ethene,-0.141595,-0.411256,-0.179103,-0.156003
Ag110,isopropanol,-0.237413,-0.587492,-0.294978,-0.463207
Ag110,propanol,-0.243158,-0.5436,-0.255189,-0.434177
Ag111,ethane,-0.001734,-0.133735,0.000281,-0.200327
Ag111,ethanol,-0.085274,-0.271032,-0.157044,-0.309854
Ag111,ethene,-0.033948,-0.183861,-0.062174,-0.223215
Ag111,propanol,-0.114057,-0.408185,-0.211786,-0.438748
Au111,CH3,-1.23323139,-1.28941242,-1.05214848,-1.36465686
Au111,CO,-0.07125681,-0.07447963,0.0457819,-0.257631
Au111,H2,0.1341625,0.31018137,0.30145392,-0.341399
Au111,H2O,0.07552183,0.15524861,0.1929756,-0.44983
Au111,H2S,0.06683798,-0.00381036,0.15496554,-0.548898
Au111,N2,0.11984266,0.28257291,0.29187976,-0.417933
Au111,NH3,0.05984804,0.08107265,0.16449438,-0.495494
Au111,SO2,0.05524914,-0.03914382,0.13504024,-0.645305
Au111,acetaldehyde,0.07079847,0.01451808,0.14541139,-0.635973
Au111,ethane,0.10807813,0.06668247,0.21132448,-0.58911
Au111,ethanol,0.35027781,0.27546129,0.42420521,-0.414467
Au111,ethene,-0.020577,-0.099057,0.024275,-0.23967
Au111,formaldehyde,0.04776452,0.09071155,0.16021207,-0.564227
Au111,formate,-2.157517,-2.32231791,-2.54218465,-2.846159
Au111,formic_acid,0.02078081,-0.01193799,0.10794063,-0.62548
Au111,glycerol,0.251876,-0.071518,0.262698,-0.347971
Au111,isopropanol,0.202074,0.018965,0.263387,-0.3001
Au111,methane,0.12883942,0.1764705,0.24813672,-0.486012
Au111,methanol,0.29737614,0.2761696,0.37910021,-0.405131
Au111,propane,0.200327,0.158504,0.314647,-0.233682
