name,surface,metal,molecule,category,dist,min_dist,min_dist_heavy,pair_heavy,tier,conf,reason,png
Fe110_CO2,Fe110,Fe,CO2,detached,7.32,7.321,7.321,Fe-C,1,high,CO2: C activation (bent) on reactive Fe; should chemisorb,Fe110_CO2.png
Fe110_H2O,Fe110,Fe,H2O,detached,6.57,5.853,6.566,Fe-O,1,high,H2O: O lone-pair on reactive Fe; should chemisorb,Fe110_H2O.png
Cr110_H2O,Cr110,Cr,H2O,detached,6.4,5.563,6.401,Cr-O,1,high,H2O: O lone-pair on reactive Cr; should chemisorb,Cr110_H2O.png
Cr100_H2O,Cr100,Cr,H2O,detached,6.19,5.619,6.192,Cr-O,1,high,H2O: O lone-pair on reactive Cr; should chemisorb,Cr100_H2O.png
Fe111_H2O,Fe111,Fe,H2O,detached,6.08,5.561,6.077,Fe-O,1,high,H2O: O lone-pair on reactive Fe; should chemisorb,Fe111_H2O.png
Fe100_H2O,Fe100,Fe,H2O,detached,6.07,5.489,6.066,Fe-O,1,high,H2O: O lone-pair on reactive Fe; should chemisorb,Fe100_H2O.png
Co0001_NO,Co0001,Co,NO,detached,6.02,6.023,6.023,Co-N,1,high,NO binds all TMs (N-down radical); should be ~1.8–2.4 Å,Co0001_NO.png
Fe111_CO2,Fe111,Fe,CO2,detached,6.01,6.006,6.006,Fe-O,1,high,CO2: C activation (bent) on reactive Fe; should chemisorb,Fe111_CO2.png
Co0001_O2,Co0001,Co,O2,detached,6.0,5.995,5.995,Co-O,1,high,O2: O₂ dissociation on reactive Co; should chemisorb,Co0001_O2.png
Cr100_O2,Cr100,Cr,O2,detached,6.0,5.997,5.997,Cr-O,1,high,O2: O₂ dissociation on reactive Cr; should chemisorb,Cr100_O2.png
Cr110_CO2,Cr110,Cr,CO2,detached,6.0,6.005,6.005,Cr-O,1,high,CO2: C activation (bent) on reactive Cr; should chemisorb,Cr110_CO2.png
Ni111_CO2,Ni111,Ni,CO2,detached,6.0,5.997,5.997,Ni-O,1,high,CO2: C activation (bent) on reactive Ni; should chemisorb,Ni111_CO2.png
Cr111_CO2,Cr111,Cr,CO2,detached,5.98,5.978,5.978,Cr-O,1,high,CO2: C activation (bent) on reactive Cr; should chemisorb,Cr111_CO2.png
Cr111_H2O,Cr111,Cr,H2O,detached,5.98,5.336,5.978,Cr-O,1,high,H2O: O lone-pair on reactive Cr; should chemisorb,Cr111_H2O.png
Co0001_H2O,Co0001,Co,H2O,detached,5.97,5.233,5.969,Co-O,1,high,H2O: O lone-pair on reactive Co; should chemisorb,Co0001_H2O.png
Fe100_CO2,Fe100,Fe,CO2,detached,5.96,5.957,5.957,Fe-C,1,high,CO2: C activation (bent) on reactive Fe; should chemisorb,Fe100_CO2.png
Ni100_CO2,Ni100,Ni,CO2,detached,5.95,5.947,5.947,Ni-C,1,high,CO2: C activation (bent) on reactive Ni; should chemisorb,Ni100_CO2.png
Cr100_carbonate,Cr100,Cr,carbonate,detached,5.93,5.928,5.928,Cr-C,1,high,carbonate binds all TMs (carbonate O); should be ~1.8–2.4 Å,Cr100_carbonate.png
Ni110_CO2,Ni110,Ni,CO2,detached,5.9,5.896,5.896,Ni-C,1,high,CO2: C activation (bent) on reactive Ni; should chemisorb,Ni110_CO2.png
Co0001_carbonate,Co0001,Co,carbonate,detached,5.88,5.884,5.884,Co-C,1,high,carbonate binds all TMs (carbonate O); should be ~1.8–2.4 Å,Co0001_carbonate.png
Co0001_CO2,Co0001,Co,CO2,detached,5.87,5.872,5.872,Co-C,1,high,CO2: C activation (bent) on reactive Co; should chemisorb,Co0001_CO2.png
Cr100_CO2,Cr100,Cr,CO2,detached,5.87,5.87,5.87,Cr-C,1,high,CO2: C activation (bent) on reactive Cr; should chemisorb,Cr100_CO2.png
Co0001_NO2,Co0001,Co,NO2,detached,5.79,5.789,5.789,Co-N,1,high,NO2 binds all TMs (N/O radical); should be ~1.8–2.4 Å,Co0001_NO2.png
Cr100_NO,Cr100,Cr,NO,detached,5.76,5.756,5.756,Cr-N,1,high,NO binds all TMs (N-down radical); should be ~1.8–2.4 Å,Cr100_NO.png
Fe100_CO,Fe100,Fe,CO,detached,5.76,5.757,5.757,Fe-C,1,high,CO binds all TMs (C-down π-acceptor); should be ~1.8–2.4 Å,Fe100_CO.png
Cr100_CO,Cr100,Cr,CO,detached,5.71,5.712,5.712,Cr-C,1,high,CO binds all TMs (C-down π-acceptor); should be ~1.8–2.4 Å,Cr100_CO.png
Cr100_NO2,Cr100,Cr,NO2,detached,5.66,5.66,5.66,Cr-N,1,high,NO2 binds all TMs (N/O radical); should be ~1.8–2.4 Å,Cr100_NO2.png
Cr100_formate,Cr100,Cr,formate,detached,5.58,4.479,5.576,Cr-C,1,high,"formate binds all TMs (carboxylate O,O); should be ~1.8–2.4 Å",Cr100_formate.png
Co0001_formate,Co0001,Co,formate,detached,5.51,4.404,5.506,Co-C,1,high,"formate binds all TMs (carboxylate O,O); should be ~1.8–2.4 Å",Co0001_formate.png
Fe110_CO,Fe110,Fe,CO,detached,5.49,5.485,5.485,Fe-C,1,high,CO binds all TMs (C-down π-acceptor); should be ~1.8–2.4 Å,Fe110_CO.png
Fe111_CO,Fe111,Fe,CO,detached,5.46,5.457,5.457,Fe-C,1,high,CO binds all TMs (C-down π-acceptor); should be ~1.8–2.4 Å,Fe111_CO.png
Co0001_SO2,Co0001,Co,SO2,detached,5.42,5.42,5.42,Co-S,1,high,SO2 binds all TMs (S/O anchor); should be ~1.8–2.4 Å,Co0001_SO2.png
Cr111_CO,Cr111,Cr,CO,detached,5.39,5.391,5.391,Cr-C,1,high,CO binds all TMs (C-down π-acceptor); should be ~1.8–2.4 Å,Cr111_CO.png
Co0001_CO,Co0001,Co,CO,detached,5.38,5.375,5.375,Co-C,1,high,CO binds all TMs (C-down π-acceptor); should be ~1.8–2.4 Å,Co0001_CO.png
Cr110_CO,Cr110,Cr,CO,detached,5.38,5.38,5.38,Cr-C,1,high,CO binds all TMs (C-down π-acceptor); should be ~1.8–2.4 Å,Cr110_CO.png
Cr100_SO2,Cr100,Cr,SO2,detached,5.34,5.337,5.337,Cr-S,1,high,SO2 binds all TMs (S/O anchor); should be ~1.8–2.4 Å,Cr100_SO2.png
Cr100_HCO,Cr100,Cr,HCO,detached,5.3,4.555,5.305,Cr-C,1,high,HCO binds all TMs (radical); should be ~1.8–2.4 Å,Cr100_HCO.png
Co0001_HCO,Co0001,Co,HCO,detached,4.79,4.056,4.788,Co-C,1,high,HCO binds all TMs (radical); should be ~1.8–2.4 Å,Co0001_HCO.png
Co0001_DMSO,Co0001,Co,DMSO,borderline,3.8,3.188,3.801,Co-C,1,med,"DMSO binds all TMs (S anchor); borderline contact, likely weak/failed",Co0001_DMSO.png
