surface,molecule,method,status,source_path,atom,label,element,metal_atom,metal_label,distance_A,contact_candidate
Ag100,CH3,mlip,relaxed,/global/u1/j/jcho5/projects/bond-distance-review/Ag100_CH3_sevennet_omni.cif,36,C1,C,32,Ag33,2.161436,True
Ag100,CH3,mlip,relaxed,/global/u1/j/jcho5/projects/bond-distance-review/Ag100_CH3_sevennet_omni.cif,38,H3,H,32,Ag33,2.66645,False
Ag100,CH3,mlip,relaxed,/global/u1/j/jcho5/projects/bond-distance-review/Ag100_CH3_sevennet_omni.cif,39,H4,H,32,Ag33,2.668904,False
Ag100,CH3,mlip,relaxed,/global/u1/j/jcho5/projects/bond-distance-review/Ag100_CH3_sevennet_omni.cif,37,H2,H,32,Ag33,2.708738,False
Ag100,CH3,pbe,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE/CONTCAR,36,C1,C,32,Ag33,2.167784,True
Ag100,CH3,pbe,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE/CONTCAR,39,H4,H,32,Ag33,2.708109,False
Ag100,CH3,pbe,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE/CONTCAR,38,H3,H,32,Ag33,2.71036,False
Ag100,CH3,pbe,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE/CONTCAR,37,H2,H,32,Ag33,2.741695,False
Ag100,CH3,pbe_d3,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE_D3/CONTCAR,36,C1,C,32,Ag33,2.173674,True
Ag100,CH3,pbe_d3,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE_D3/CONTCAR,38,H3,H,32,Ag33,2.713165,False
Ag100,CH3,pbe_d3,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE_D3/CONTCAR,39,H4,H,32,Ag33,2.715599,False
Ag100,CH3,pbe_d3,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/PBE_D3/CONTCAR,37,H2,H,32,Ag33,2.74331,False
Ag100,CH3,r2scan,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/r2scan/CONTCAR,36,C1,C,32,Ag33,2.168434,True
Ag100,CH3,r2scan,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/r2scan/CONTCAR,38,H3,H,32,Ag33,2.718137,False
Ag100,CH3,r2scan,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/r2scan/CONTCAR,39,H4,H,32,Ag33,2.718811,False
Ag100,CH3,r2scan,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/r2scan/CONTCAR,37,H2,H,32,Ag33,2.748632,False
Ag100,CH3,beef_vdw,converged,/pscratch/sd/j/jcho5/VASP/dft_jobs/CH3_Ag100/beef_vdw/CONTCAR,36,C1,C,32,Ag33,2.198208,True
