name,surface,molecule,n_metal,n_mol,old_energy,old_functional,new_energy,functional,mode,status,complex_snapshot_id
Ag100_CO2,Ag100,CO2,64,3,0.13,r2scan,-0.02591616,pbe,relaxed,ok,2e1a11b466cd8264f9224eae86da6c00d521084c6155d41e7c70d7e0958b70cf
Ag100_ethane,Ag100,ethane,64,8,0.136,r2scan,-0.26048106,pbe_d3,relaxed,ok,1f14bbbfdcc95e50371ec7f0569b8b17a612588bc02ab9335807d094b5109074
Ag100_ethanol,Ag100,ethanol,64,9,-0.085,r2scan,-0.44751115,pbe_d3,relaxed,ok,95c325688d1108592237afa3b88e905ed16cfb644c9bdd3c52f7e2c6a76a6f22
Ag100_ethene,Ag100,ethene,64,6,0.06,r2scan,,,,no validated size-matched selection,
Ag100_glycerol,Ag100,glycerol,64,14,-0.188,r2scan,-0.19451722,r2scan,SPE,ok,2d8d5dae7467fd39bd6933f6deca51fdff9efb0a267670d354bc5f47cd7c31fb
Ag110_citric_acid,Ag110,citric_acid,24,21,-1.906,pbe_d3,,,,no validated size-matched selection,
Ag110_ethanol,Ag110,ethanol,64,9,-0.24,r2scan,-0.5772629,pbe_d3,relaxed,ok,2192280025604a86293faa6c682197b695280db84db77b2ee2d1e4d80a739c0d
Ag110_ethene,Ag110,ethene,64,6,-0.179,r2scan,,,,no validated size-matched selection,
Ag110_isopropanol,Ag110,isopropanol,64,12,-0.295,r2scan,-0.57813277,pbe_d3,SPE,ok,33283d0844f0f1f3accbee2d4ad7c0b200f0626cd81458b62f55624bfd574d44
Ag110_propanol,Ag110,propanol,64,12,-0.255,r2scan,-0.53424114,pbe_d3,SPE,ok,4572b8e2cbac3aaf14abfcd1d0f06357026f41ede987b812353b2d81c805be4e
Ag111_5-HMF,Ag111,5-HMF,36,15,-7.125,pbe_d3,,,,no validated size-matched selection,
Ag111_CH3,Ag111,CH3,36,4,,,-1.01221119,pbe_d3,relaxed,ok,a10bf066fea188532f06eb22c4bac6e638d6307aa681249653970ac4e9515d5d
Ag111_CH4,Ag111,CH4,36,5,,,-0.15131989,pbe_d3,relaxed,ok,16792a5ad86c64a4cfc6b96785acb6094a3e3b4c51a42b2e06adf86568aa0259
Ag111_CO,Ag111,CO,36,2,,,-0.12003402,pbe_d3,relaxed,ok,c0a2cb9793c5bcbec1a4c5cde92b309e6398f5147185c364f877414e6d0154a0
Ag111_CO2,Ag111,CO2,64,3,-0.008,r2scan,,,,no validated size-matched selection,
Ag111_DME,Ag111,DME,36,9,,,-0.0972577,r2scan,relaxed,ok,facafbb9b87c934a64cf5d196d93168e02e18923c7591acefd3dd6e46b0d869d
Ag111_H2,Ag111,H2,36,2,,,0.1837857,r2scan,SPE,ok,1d64eb628c97c4fac63e128302ebfb0a9ab22c1053fa24c123300313fbb68b4a
Ag111_H2O,Ag111,H2O,36,3,,,-0.29937972,pbe_d3,relaxed,ok,4a0e2e50507aaed617ac99510bd08944da10f29381e71a5088b81ee8d0125f6b
Ag111_H2S,Ag111,H2S,36,3,,,-0.4285085,pbe_d3,relaxed,ok,2a0fdb69902a286e2f651a946a852cfd1b19ee0e9acf109608b7c2c13772b888
Ag111_N2,Ag111,N2,36,2,,,-0.07069564,pbe_d3,relaxed,ok,98a87a62ebced486ac2762a3604573034d37000164b24144077c87b6a6b86970
Ag111_NH3,Ag111,NH3,36,4,,,-0.51866354,pbe_d3,relaxed,ok,2a8520af796c8e20d5c24dacc7182fde774df213cfeac182298b8f08c78c5ea1
