alias,canonical_molecule,display_formula
(CH3)2CHOH,isopropanol,CH3CHOHCH3
1-propanol,propanol,CH3CH2CH2OH
1_propanol,propanol,CH3CH2CH2OH
2-propanol,isopropanol,CH3CHOHCH3
2_propanol,isopropanol,CH3CHOHCH3
C2H2,acetylene,C2H2
C2H4,ethene,C2H4
C2H5OH,ethanol,CH3CH2OH
C2H6,ethane,C2H6
C3H8,propane,C3H8
CH2O,formaldehyde,H2CO
CH2OH,CH2OH,CH2OH
CH3,CH3,CH3
CH3CH2CH2OH,propanol,CH3CH2CH2OH
CH3CH2OH,ethanol,CH3CH2OH
CH3CH=CH2,propene,CH3CH=CH2
CH3CHO,acetaldehyde,CH3CHO
CH3CHOHCH3,isopropanol,CH3CHOHCH3
CH3COOH,acetic_acid,CH3COOH
CH3O,methoxy,CH3O
CH3OCH3,DME,CH3OCH3
CH3OH,methanol,CH3OH
CH4,methane,CH4
CO,CO,CO
CO2,CO2,CO2
DME,DME,CH3OCH3
H2,H2,H2
H2CO,formaldehyde,H2CO
H2O,H2O,H2O
H2S,H2S,H2S
HCOO,formate,HCOO
HCOOH,formic_acid,HCOOH
HOCH2CHOHCH2OH,glycerol,HOCH2CHOHCH2OH
N2,N2,N2
NH3,NH3,NH3
NO,NO,NO
O2,O2,O2
SO2,SO2,SO2
acetaldehyde,acetaldehyde,CH3CHO
acetic acid,acetic_acid,CH3COOH
acetic_acid,acetic_acid,CH3COOH
acetylene,acetylene,C2H2
ammonia,NH3,NH3
carbon_dioxide,CO2,CO2
carbon_monoxide,CO,CO
dimethyl ether,DME,CH3OCH3
dimethyl_ether,DME,CH3OCH3
dme,DME,CH3OCH3
ethanal,acetaldehyde,CH3CHO
ethane,ethane,C2H6
ethanoic_acid,acetic_acid,CH3COOH
ethanol,ethanol,CH3CH2OH
ethene,ethene,C2H4
ethyl_alcohol,ethanol,CH3CH2OH
ethylene,ethene,C2H4
ethyne,acetylene,C2H2
formaldehyde,formaldehyde,H2CO
formate,formate,HCOO
formic acid,formic_acid,HCOOH
formic_acid,formic_acid,HCOOH
glycerin,glycerol,HOCH2CHOHCH2OH
glycerol,glycerol,HOCH2CHOHCH2OH
hydrogen,H2,H2
hydrogen_sulfide,H2S,H2S
hydroxymethyl,CH2OH,CH2OH
isopropanol,isopropanol,CH3CHOHCH3
isopropyl_alcohol,isopropanol,CH3CHOHCH3
methanal,formaldehyde,H2CO
methane,methane,CH4
methanoic_acid,formic_acid,HCOOH
methanol,methanol,CH3OH
methoxy,methoxy,CH3O
methyl,CH3,CH3
methyl_alcohol,methanol,CH3OH
n-propanol,propanol,CH3CH2CH2OH
n_propanol,propanol,CH3CH2CH2OH
nitric_oxide,NO,NO
nitrogen,N2,N2
oxygen,O2,O2
propane,propane,C3H8
propanol,propanol,CH3CH2CH2OH
propene,propene,CH3CH=CH2
propylene,propene,CH3CH=CH2
sulfur_dioxide,SO2,SO2
water,H2O,H2O
