tree,directory,molecule_token,canonical_molecule,appears_on_page
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag100,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag110,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ag111,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Au100,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Au110,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Au111,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ir100,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ir110,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Ir111,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Pd111_bri,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Rh100,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Rh110,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H2_Rh111,C2H2,acetylene,False
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ag100,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ag110,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ag111,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Au100,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Au110,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Au111,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Cu100,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Cu110,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Cu111,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ir100,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ir110,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Ir111,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Pd100,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Pd110,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Pd111,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Pt100,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Pt110,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Pt111_bri,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Rh100,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Rh110,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H4_Rh111,C2H4,ethene,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H5OH_Pt111_top,C2H5OH,ethanol,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag100,C2H6,ethane,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag110,C2H6,ethane,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Ag111,C2H6,ethane,True
dft_jobs,/pscratch/sd/j/jcho5/VASP/dft_jobs/C2H6_Au100,C2H6,ethane,True
